Year,mt1000,t
1960,5275,1
1961,6002,2
1962,6100,3
1963,4279,4
1964,4583,5
1965,5118,6
1966,9762,7
1967,5316,8
1968,5340,9
1969,6132,10
1970,8600,11
1971,9483,12
1972,4160,13
1973,11105,14
1974,9140,15
1975,7314,16
1976,9727,17
1977,10056,18
1978,8332,19
1979,11040,20
1980,14872,21
1981,8781,22
1982,4399,23
1983,4797,24
1984,8444,25
1985,8600,26
1986,7890,27
1987,7670,28
1988,12481,29
1989,9180,30
1990,8614,31
1991,3277,32
1992,9997,33
1993,13275,34
1994,4866,35
1995,10171,36
1996,10136,37
1997,7693,38
1998,7946,39
1999,11455,40
2000,8040,41
2001,10050,42
2002,9675,43
2003,9700,44
2004,11716,45
2005,6935,46
2006,7300,47
2007,13164,48
2008,12567,49
2009,13420,50
2010,10924,51
2011,12759,52
2012,12365,53
2013,14925,54
2014,10629,55
2015,8214,56
2016,17551,57
2017,13104,58
2018,11824,59
2019,16250,60
2020,14000,61
