date,tmn
1979-01,14.06
1979-02,16.04
1979-03,11.26
1979-04,9.17
1979-05,3.35
1979-06,-1.27
1979-07,-1.26
1979-08,3.32
1979-09,4.8
1979-10,8.58
1979-11,12.37
1979-12,14.81
1980-01,14.39
1980-02,14.89
1980-03,13.68
1980-04,6.17
1980-05,1.42
1980-06,-1.87
1980-07,-3.26
1980-08,2.94
1980-09,5.63
1980-10,9.06
1980-11,10.37
1980-12,13.55
1981-01,15.14
1981-02,15.29
1981-03,10.29
1981-04,6.9
1981-05,4
1981-06,-1.5
1981-07,-1.97
1981-08,0.58
1981-09,2.47
1981-10,5.61
1981-11,11.07
1981-12,13.13
1982-01,13.54
1982-02,15.23
1982-03,11.03
1982-04,6.67
1982-05,1.21
1982-06,-1.63
1982-07,-0.75
1982-08,-0.37
1982-09,7.45
1982-10,10.01
1982-11,10.61
1982-12,13.98
1983-01,16.74
1983-02,14.18
1983-03,11.99
1983-04,9.71
1983-05,3.35
1983-06,0.38
1983-07,0.41
1983-08,0.53
1983-09,6.56
1983-10,11.4
1983-11,10.55
1983-12,14.93
1984-01,13.94
1984-02,14.36
1984-03,14.08
1984-04,7.67
1984-05,3.07
1984-06,-1.14
1984-07,-1.09
1984-08,1.29
1984-09,6.31
1984-10,10.39
1984-11,12.81
1984-12,13.39
1985-01,17.77
1985-02,16.79
1985-03,11.51
1985-04,7.3
1985-05,2.26
1985-06,-0.43
1985-07,-0.95
1985-08,2.65
1985-09,7.99
1985-10,12.68
1985-11,14.27
1985-12,14.26
1986-01,15.63
1986-02,14.49
1986-03,13.47
1986-04,10.05
1986-05,3.19
1986-06,0.5
1986-07,-1.05
1986-08,2.94
1986-09,6.71
1986-10,11.13
1986-11,12.21
1986-12,15.2
1987-01,16.04
1987-02,17.6
1987-03,13.23
1987-04,9.72
1987-05,3.67
1987-06,-1.31
1987-07,-1.9
1987-08,1.75
1987-09,7.54
1987-10,10.21
1987-11,13.53
1987-12,14.82
1988-01,16.29
1988-02,16.03
1988-03,14.76
1988-04,8.34
1988-05,3.31
1988-06,-1.34
1988-07,-1.97
1988-08,1.61
1988-09,5.89
1988-10,7.96
1988-11,11.59
1988-12,12.53
1989-01,15.18
1989-02,14.35
1989-03,10.84
1989-04,7.95
1989-05,4.25
1989-06,-1.15
1989-07,-1.98
1989-08,1.91
1989-09,3.74
1989-10,8.23
1989-11,11.56
1989-12,14.06
1990-01,15.85
1990-02,13.05
1990-03,12.23
1990-04,9.72
1990-05,3.18
1990-06,-1.35
1990-07,-1.66
1990-08,1.4
1990-09,5.69
1990-10,8.58
1990-11,12.94
1990-12,15.21
1991-01,17.06
1991-02,14.75
1991-03,12.74
1991-04,6.61
1991-05,2.46
1991-06,-0.99
1991-07,-1.35
1991-08,-0.15
1991-09,6.82
1991-10,10.82
1991-11,11.66
1991-12,14.23
1992-01,14.89
1992-02,14.81
1992-03,12.2
1992-04,9.41
1992-05,-0.7
1992-06,-4.15
1992-07,-3.55
1992-08,0.59
1992-09,6.15
1992-10,7.87
1992-11,11.16
1992-12,14.37
1993-01,16.07
1993-02,14.87
1993-03,12.01
1993-04,6.75
1993-05,1.36
1993-06,-2.41
1993-07,-0.42
1993-08,1.32
1993-09,4.75
1993-10,12.04
1993-11,12.07
1993-12,14.38
1994-01,14.47
1994-02,13.52
1994-03,10.83
1994-04,6.03
1994-05,0.4
1994-06,-3.73
1994-07,-4.78
1994-08,-0.22
1994-09,5.38
1994-10,7.87
1994-11,11.17
1994-12,13.3
1995-01,15.14
1995-02,15.73
1995-03,12.76
1995-04,6.35
1995-05,3.42
1995-06,-2.07
1995-07,-3.6
1995-08,1.35
1995-09,5.73
1995-10,8.16
1995-11,11.86
1995-12,11.42
1996-01,14.73
1996-02,14.62
1996-03,10.07
1996-04,5.96
1996-05,2.46
1996-06,-3.06
1996-07,-3.12
1996-08,-1.86
1996-09,3.81
1996-10,9.24
1996-11,10.05
1996-12,12.63
1997-01,14.43
1997-02,11.82
1997-03,12.4
1997-04,4.02
1997-05,0.84
1997-06,-1.96
1997-07,-2.37
1997-08,0.62
1997-09,5.03
1997-10,9.18
1997-11,9.89
1997-12,13.82
1998-01,14.18
1998-02,14.46
1998-03,11.55
1998-04,6.66
1998-05,0.66
1998-06,-4.04
1998-07,-0.9
1998-08,0.93
1998-09,4.01
1998-10,7.87
1998-11,11.62
1998-12,13.05
1999-01,15.5
1999-02,15.32
1999-03,13.99
1999-04,7.91
1999-05,3.32
1999-06,-1.09
1999-07,-0.19
1999-08,-0.46
1999-09,4.49
1999-10,9.91
1999-11,13.4
1999-12,14.48
2000-01,13.31
2000-02,15.22
2000-03,14.66
2000-04,6.91
2000-05,1.96
2000-06,-1.44
2000-07,-3.05
,
,
,
,
,
"	",
