date,pre
1979-01,NA
1979-02,NA
1979-03,66.1
1979-04,20.2
1979-05,22.2
1979-06,3
1979-07,141.8
1979-08,62.5
1979-09,59.4
1979-10,NA
1979-11,48.2
1979-12,117.4
1980-01,98.8
1980-02,NA
1980-03,37.4
1980-04,49.5
1980-05,15.6
1980-06,15.5
1980-07,11
1980-08,NA
1980-09,NA
1980-10,NA
1980-11,NA
1980-12,NA
1981-01,NA
1981-02,NA
1981-03,NA
1981-04,NA
1981-05,137.3
1981-06,11
1981-07,30.2
1981-08,249.9
1981-09,NA
1981-10,NA
1981-11,NA
1981-12,NA
1982-01,191.5
1982-02,NA
1982-03,102.7
1982-04,52.7
1982-05,21
1982-06,17.2
1982-07,5
1982-08,14.7
1982-09,110.7
1982-10,77.9
1982-11,69.2
1982-12,73.6
1983-01,126.4
1983-02,78.6
1983-03,78.8
1983-04,84.5
1983-05,74.1
1983-06,8.3
1983-07,125.7
1983-08,88
1983-09,25
1983-10,119.6
1983-11,190
1983-12,139.4
1984-01,241
1984-02,259.5
1984-03,151.6
1984-04,131.3
1984-05,63.5
1984-06,22.6
1984-07,98.1
1984-08,43.1
1984-09,22.4
1984-10,31.1
1984-11,63.1
1984-12,38.8
1985-01,NA
1985-02,360.6
1985-03,35.2
1985-04,20.1
1985-05,33.6
1985-06,65.5
1985-07,1.5
1985-08,5.1
1985-09,34.6
1985-10,185
1985-11,119.4
1985-12,110.5
1986-01,154.9
1986-02,34
1986-03,78.5
1986-04,117.1
1986-05,2.4
1986-06,24.2
1986-07,0.3
1986-08,126.7
1986-09,54.4
1986-10,94.1
1986-11,115.8
1986-12,190.3
1987-01,105.5
1987-02,33.2
1987-03,109.5
1987-04,37.6
1987-05,42.2
1987-06,32
1987-07,6.9
1987-08,64.1
1987-09,363.3
1987-10,64.3
1987-11,129.7
1987-12,126.8
1988-01,66
1988-02,98.5
1988-03,310.8
1988-04,28.2
1988-05,49.7
1988-06,25.1
1988-07,33.7
1988-08,61.7
1988-09,27.6
1988-10,88.6
1988-11,99.6
1988-12,161.8
1989-01,51.8
1989-02,254.6
1989-03,17.8
1989-04,158.6
1989-05,21
1989-06,4.1
1989-07,62.2
1989-08,7.4
1989-09,86.9
1989-10,97
1989-11,227.5
1989-12,37.4
1990-01,103.6
1990-02,138.4
1990-03,237.6
1990-04,37.9
1990-05,22.4
1990-06,10.2
1990-07,1.2
1990-08,116
1990-09,49.4
1990-10,128.5
1990-11,52.6
1990-12,120.3
1991-01,184.9
1991-02,207.6
1991-03,233.6
1991-04,3.2
1991-05,61.5
1991-06,34.4
1991-07,35.9
1991-08,8
1991-09,95.7
1991-10,129.8
1991-11,140.8
1991-12,34.8
1992-01,89.8
1992-02,86.2
1992-03,40.6
1992-04,7.4
1992-05,1.1
1992-06,3
1992-07,8.3
1992-08,12.5
1992-09,48.5
1992-10,60.6
1992-11,77.8
1992-12,77.3
1993-01,73.1
1993-02,88.1
1993-03,38.9
1993-04,43.1
1993-05,15.2
1993-06,9
1993-07,33
1993-08,27
1993-09,58.8
1993-10,152.2
1993-11,83.7
1993-12,169.9
1994-01,64.6
1994-02,36.6
1994-03,161.3
1994-04,14.8
1994-05,2.4
1994-06,9
1994-07,97
1994-08,138.6
1994-09,15
1994-10,90.7
1994-11,24.9
1994-12,79
1995-01,72.8
1995-02,31.9
1995-03,209.4
1995-04,180.7
1995-05,47.2
1995-06,42.6
1995-07,27.3
1995-08,11
1995-09,16
1995-10,102.2
1995-11,81.2
1995-12,222.6
1996-01,409.7
1996-02,303.3
1996-03,100.5
1996-04,36.4
1996-05,18.7
1996-06,1.1
1996-07,263.8
1996-08,12.3
1996-09,20.8
1996-10,119.2
1996-11,73.2
1996-12,72.3
1997-01,187.9
1997-02,90
1997-03,60.8
1997-04,174.5
1997-05,41.5
1997-06,80
1997-07,125.4
1997-08,59.8
1997-09,54.7
1997-10,151.9
1997-11,277.5
1997-12,72.3
1998-01,93
1998-02,158.6
1998-03,84.6
1998-04,236.8
1998-05,52.5
1998-06,0
1998-07,23.4
1998-08,70.2
1998-09,24.2
1998-10,62.7
1998-11,278.3
1998-12,134.4
1999-01,93.9
1999-02,230.7
1999-03,45.9
1999-04,35.7
1999-05,37.1
1999-06,75
1999-07,4.5
1999-08,11.5
1999-09,71.2
1999-10,197.2
1999-11,57.3
1999-12,288.8
2000-01,174.7
2000-02,156.4
2000-03,148.1
2000-04,109.1
2000-05,162.6
2000-06,4.8
2000-07,20.2
"	",
