date,tmn
1979-01,13.23
1979-02,14.5
1979-03,13
1979-04,11.47
1979-05,7.58
1979-06,3.97
1979-07,3.16
1979-08,6.97
1979-09,8.27
1979-10,12.45
1979-11,12.7
1979-12,13.32
1980-01,13.77
1980-02,13.97
1980-03,12.87
1980-04,9.37
1980-05,7.39
1980-06,3.5
1980-07,3.26
1980-08,5.52
1980-09,8.53
1980-10,11.16
1980-11,12.67
1980-12,14
1981-01,15.31
1981-02,14.04
1981-03,12.32
1981-04,10.27
1981-05,6.29
1981-06,3.9
1981-07,3.9
1981-08,4.97
1981-09,7.73
1981-10,9
1981-11,14.8
1981-12,14.03
1982-01,15.5
1982-02,15.12
1982-03,13.75
1982-04,9.72
1982-05,8.37
1982-06,4.9
1982-07,5.25
1982-08,7.39
1982-09,10.99
1982-10,12.6
1982-11,13.7
1982-12,15.65
1983-01,16.78
1983-02,16.01
1983-03,14.59
1983-04,13.24
1983-05,8.32
1983-06,5.81
1983-07,5.34
1983-08,6.58
1983-09,10.67
1983-10,12.15
1983-11,13.66
1983-12,13.71
1984-01,12.17
1984-02,15.15
1984-03,14.1
1984-04,10.99
1984-05,8.03
1984-06,4.89
1984-07,5.7
1984-08,7.57
1984-09,10.96
1984-10,13.09
1984-11,12.68
1984-12,14.55
1985-01,16
1985-02,15.3
1985-03,13.8
1985-04,10.61
1985-05,8.59
1985-06,5.81
1985-07,4.86
1985-08,8.4
1985-09,10.16
1985-10,12.69
1985-11,13.51
1985-12,13.98
1986-01,15.17
1986-02,14.01
1986-03,13.92
1986-04,12.02
1986-05,9.81
1986-06,5.29
1986-07,4.91
1986-08,8.37
1986-09,9.85
1986-10,11.44
1986-11,12.37
1986-12,14.07
1987-01,14.99
1987-02,16.48
1987-03,14.25
1987-04,12.78
1987-05,9.73
1987-06,4.25
1987-07,4.28
1987-08,6.12
1987-09,9.4
1987-10,11.09
1987-11,14.51
1987-12,16.14
1988-01,16.13
1988-02,15.48
1988-03,15.01
1988-04,11.17
1988-05,8.58
1988-06,4.66
1988-07,5.45
1988-08,7.94
1988-09,10.01
1988-10,11.77
1988-11,12.58
1988-12,13.58
1989-01,14.87
1989-02,14.35
1989-03,13.65
1989-04,9.99
1989-05,8.46
1989-06,2.81
1989-07,2.12
1989-08,5.5
1989-09,6.94
1989-10,10.01
1989-11,11.07
1989-12,13.11
1990-01,13.38
1990-02,11.34
1990-03,11.97
1990-04,9.39
1990-05,4.77
1990-06,2.46
1990-07,2.75
1990-08,4.78
1990-09,7.62
1990-10,10.8
1990-11,12.7
1990-12,13.76
1991-01,14.61
1991-02,13.77
1991-03,12.53
1991-04,7.86
1991-05,6.14
1991-06,3.17
1991-07,3.24
1991-08,5.71
1991-09,9.27
1991-10,11.62
1991-11,12.59
1991-12,13.12
1992-01,14.63
1992-02,14.32
1992-03,12.03
1992-04,10.62
1992-05,6.05
1992-06,3.36
1992-07,3.08
1992-08,3.97
1992-09,11.36
1992-10,10.95
1992-11,11.49
1992-12,14.4
1993-01,14.29
1993-02,14.46
1993-03,12.65
1993-04,9.38
1993-05,6.43
1993-06,1.86
1993-07,4.22
1993-08,5.32
1993-09,10.21
1993-10,12.73
1993-11,12.28
1993-12,14.47
1994-01,13.99
1994-02,13.27
1994-03,12.18
1994-04,9.2
1994-05,5.35
1994-06,2.21
1994-07,0.27
1994-08,4.01
1994-09,8.44
1994-10,9.14
1994-11,12.58
1994-12,13.09
1995-01,14.51
1995-02,14.04
1995-03,12.85
1995-04,9.57
1995-05,6.06
1995-06,2.62
1995-07,3.53
1995-08,5.67
1995-09,9.72
1995-10,10.75
1995-11,12.64
1995-12,11.91
1996-01,14.42
1996-02,14.67
1996-03,12.43
1996-04,9.58
1996-05,7.78
1996-06,4.18
1996-07,2.01
1996-08,5.35
1996-09,8.26
1996-10,11.92
1996-11,12.8
1996-12,14.16
1997-01,15.09
1997-02,15.1
1997-03,14.3
1997-04,8.12
1997-05,5.31
1997-06,4.11
1997-07,3.79
1997-08,6.28
1997-09,9.58
1997-10,10.65
1997-11,11.5
1997-12,13.94
1998-01,14.22
1998-02,14.34
1998-03,14.34
1998-04,11.28
1998-05,5.89
1998-06,4.58
1998-07,3.72
1998-08,3.68
1998-09,8.65
1998-10,10.63
1998-11,12
1998-12,12.99
1999-01,14.1
1999-02,13.21
1999-03,13.09
1999-04,10.15
1999-05,6.77
1999-06,4.32
1999-07,4.23
1999-08,4.76
1999-09,7.5
1999-10,9.02
1999-11,12.52
1999-12,12.67
2000-01,12.33
2000-02,13.49
2000-03,13.03
2000-04,8.71
2000-05,4.03
2000-06,4.26
2000-07,1.8
,
,
,
,
,
"	",
