date,pre
1979-01,NA
1979-02,NA
1979-03,NA
1979-04,NA
1979-05,14.3
1979-06,0.1
1979-07,16
1979-08,47.1
1979-09,27.6
1979-10,NA
1979-11,NA
1979-12,NA
1980-01,NA
1980-02,NA
1980-03,80.3
1980-04,12
1980-05,2
1980-06,0
1980-07,0
1980-08,0
1980-09,80.3
1980-10,11.8
1980-11,NA
1980-12,NA
1981-01,NA
1981-02,NA
1981-03,NA
1981-04,44.7
1981-05,0
1981-06,8.6
1981-07,0
1981-08,12.7
1981-09,29.5
1981-10,NA
1981-11,NA
1981-12,NA
1982-01,237.1
1982-02,NA
1982-03,99
1982-04,41
1982-05,0
1982-06,0.5
1982-07,11.2
1982-08,0.3
1982-09,10.3
1982-10,53.9
1982-11,55.9
1982-12,75.5
1983-01,110.6
1983-02,78.6
1983-03,51.4
1983-04,8.6
1983-05,15
1983-06,36
1983-07,4
1983-08,5
1983-09,18
1983-10,165.4
1983-11,148.2
1983-12,163.7
1984-01,49.2
1984-02,15.7
1984-03,76.2
1984-04,9.4
1984-05,1
1984-06,10.5
1984-07,15.4
1984-08,0.4
1984-09,11
1984-10,68.4
1984-11,77.1
1984-12,87.2
1985-01,NA
1985-02,145.9
1985-03,88.8
1985-04,2
1985-05,6.6
1985-06,0
1985-07,5.3
1985-08,0
1985-09,40.1
1985-10,138
1985-11,150.1
1985-12,108
1986-01,50.2
1986-02,90.4
1986-03,89.6
1986-04,37.9
1986-05,0
1986-06,25
1986-07,0
1986-08,7.4
1986-09,2.5
1986-10,116.3
1986-11,183.4
1986-12,184.6
1987-01,135.3
1987-02,52.6
1987-03,252.4
1987-04,10.7
1987-05,0
1987-06,0.1
1987-07,0
1987-08,20
1987-09,174.3
1987-10,57.3
1987-11,208
1987-12,114.1
1988-01,94.3
1988-02,66.4
1988-03,131.5
1988-04,41.2
1988-05,1.2
1988-06,26.3
1988-07,4.8
1988-08,0
1988-09,44.4
1988-10,76.5
1988-11,37.9
1988-12,155.1
1989-01,108.2
1989-02,171.8
1989-03,38.5
1989-04,41.2
1989-05,32
1989-06,51.5
1989-07,0
1989-08,1
1989-09,0
1989-10,63.1
1989-11,161.1
1989-12,81.1
1990-01,64
1990-02,130.2
1990-03,84.8
1990-04,109.1
1990-05,11
1990-06,0.5
1990-07,3
1990-08,0
1990-09,7.2
1990-10,46.1
1990-11,39.2
1990-12,104.3
1991-01,116.7
1991-02,116.2
1991-03,127.4
1991-04,3
1991-05,5.1
1991-06,8
1991-07,0
1991-08,2
1991-09,14
1991-10,67.4
1991-11,38.1
1991-12,98
1992-01,98.5
1992-02,96.3
1992-03,24.7
1992-04,19.8
1992-05,0
1992-06,5
1992-07,0
1992-08,15.4
1992-09,7
1992-10,32.3
1992-11,119
1992-12,101
1993-01,133
1993-02,112.8
1993-03,137.2
1993-04,31.2
1993-05,0
1993-06,0
1993-07,0
1993-08,0.4
1993-09,2
1993-10,189.8
1993-11,111.4
1993-12,94.4
1994-01,103.8
1994-02,189
1994-03,82.3
1994-04,23.2
1994-05,0
1994-06,0
1994-07,0.2
1994-08,0
1994-09,4
1994-10,98.4
1994-11,49.8
1994-12,159.4
1995-01,93
1995-02,171.8
1995-03,139.6
1995-04,66.6
1995-05,10.2
1995-06,0
1995-07,0
1995-08,8.4
1995-09,2
1995-10,112.8
1995-11,149.2
1995-12,216
1996-01,173
1996-02,319.6
1996-03,56.4
1996-04,62
1996-05,24.2
1996-06,2
1996-07,0
1996-08,12.8
1996-09,0.4
1996-10,45.7
1996-11,83
1996-12,117.4
1997-01,171.6
1997-02,39.5
1997-03,330.2
1997-04,32.4
1997-05,98
1997-06,8
1997-07,7
1997-08,3
1997-09,27.2
1997-10,33.4
1997-11,103.8
1997-12,101.4
1998-01,140.2
1998-02,78.4
1998-03,26.3
1998-04,11.6
1998-05,0.4
1998-06,0
1998-07,0
1998-08,0
1998-09,149
1998-10,78.4
1998-11,210
1998-12,130.8
1999-01,126.6
1999-02,25.5
1999-03,47
1999-04,40.2
1999-05,54.2
1999-06,5
1999-07,0.8
1999-08,3.6
1999-09,7.8
1999-10,14
1999-11,54.4
1999-12,166.6
2000-01,101.6
2000-02,262.6
2000-03,154.9
2000-04,34.2
2000-05,25.2
2000-06,9.6
2000-07,0
"	",
