date,pre
1911-09,0
1911-10,6
1911-11,NA
1911-12,15
1912-01,76
1912-02,0
1912-03,10
1912-04,NA
1912-05,NA
1912-06,NA
1912-07,NA
1912-08,NA
1912-09,NA
1912-10,NA
1912-11,39
1912-12,NA
1913-01,NA
1913-02,NA
1913-03,52
1913-04,34
1913-05,0
1913-06,0
1913-07,3
1913-08,0
1913-09,2
1913-10,71
1913-11,52
1913-12,33
1914-01,20
1914-02,142
1914-03,11
1914-04,88
1914-05,NA
1914-06,NA
1914-07,NA
1914-08,4
1914-09,0
1914-10,19
1914-11,NA
1914-12,208
1915-01,363
1915-02,240
1915-03,22
1915-04,3
1915-05,34
1915-06,48
1915-07,20
1915-08,NA
1915-09,NA
1915-10,NA
1915-11,NA
1915-12,NA
1916-01,NA
1916-02,NA
1916-03,NA
1916-04,NA
1916-05,NA
1916-06,NA
1916-07,NA
1916-08,NA
1916-09,NA
1916-10,NA
1916-11,NA
1916-12,NA
1917-01,NA
1917-02,NA
1917-03,NA
1917-04,NA
1917-05,NA
1917-06,NA
1917-07,NA
1917-08,NA
1917-09,NA
1917-10,NA
1917-11,NA
1917-12,NA
1918-01,NA
1918-02,NA
1918-03,NA
1918-04,NA
1918-05,NA
1918-06,NA
1918-07,NA
1918-08,NA
1918-09,NA
1918-10,NA
1918-11,NA
1918-12,NA
1919-01,NA
1919-02,NA
1919-03,40
1919-04,14
1919-05,12
1919-06,1
1919-07,1
1919-08,12
1919-09,5
1919-10,18
1919-11,108
1919-12,49
1920-01,77
1920-02,97
1920-03,158
1920-04,4
1920-05,8
1920-06,0
1920-07,1
1920-08,2
1920-09,9
1920-10,106
1920-11,41
1920-12,17
1921-01,91
1921-02,79
1921-03,172
1921-04,29
1921-05,24
1921-06,0
1921-07,1
1921-08,0
1921-09,21
1921-10,NA
1921-11,134
1921-12,107
1922-01,14
1922-02,7
1922-03,57
1922-04,NA
1922-05,NA
1922-06,37
1922-07,0
1922-08,6
1922-09,6
1922-10,28
1922-11,79
1922-12,20
1923-01,226
1923-02,187
1923-03,89
1923-04,14
1923-05,2
1923-06,0
1923-07,7
1923-08,0
1923-09,6
1923-10,4
1923-11,16
1923-12,104
1924-01,51
1924-02,73
1924-03,151
1924-04,7
1924-05,32
1924-06,0
1924-07,1
1924-08,NA
1924-09,16
1924-10,25
1924-11,222
1924-12,154
1925-01,303
1925-02,137
1925-03,204
1925-04,20
1925-05,36
1925-06,1
1925-07,0
1925-08,0
1925-09,37
1925-10,21
1925-11,27
1925-12,2
1926-01,63
1926-02,109
1926-03,45
1926-04,12
1926-05,10
1926-06,0
1926-07,36
1926-08,0
1926-09,16
1926-10,0
1926-11,47
1926-12,43
1927-01,124
1927-02,0
1927-03,35
1927-04,2
1927-05,0
1927-06,3
1927-07,32
1927-08,23
1927-09,4
1927-10,97
1927-11,13
1927-12,NA
1928-01,156
1928-02,4
1928-03,35
1928-04,25
1928-05,0
1928-06,0
1928-07,8
1928-08,3
1928-09,11
1928-10,34
1928-11,19
1928-12,39
1929-01,67
1929-02,70
1929-03,116
1929-04,0
1929-05,0
1929-06,7
1929-07,1
1929-08,4
1929-09,26
1929-10,NA
1929-11,NA
1929-12,112
1930-01,41
1930-02,55
1930-03,172
1930-04,12
1930-05,NA
1930-06,6
1930-07,0
1930-08,1
1930-09,3
1930-10,0
1930-11,0
1930-12,220
1931-01,72
1931-02,38
1931-03,87
1931-04,17
1931-05,0
1931-06,1
1931-07,45
1931-08,0
1931-09,9
1931-10,13
1931-11,13
1931-12,71
1932-01,33
1932-02,80
1932-03,122
1932-04,21
1932-05,20
1932-06,11
1932-07,0
1932-08,0
1932-09,21
1932-10,16
1932-11,28
1932-12,30
1933-01,130
1933-02,0
1933-03,109
1933-04,10
1933-05,0
1933-06,0
1933-07,14
1933-08,0
1933-09,7
1933-10,20
1933-11,70
1933-12,73
1934-01,177
1934-02,19
1934-03,108
1934-04,13
1934-05,23
1934-06,15
1934-07,0
1934-08,0
1934-09,52
1934-10,18
1934-11,135
1934-12,95
1935-01,37
1935-02,127
1935-03,28
1935-04,4
1935-05,44
1935-06,23
1935-07,5
1935-08,0
1935-09,20
1935-10,7
1935-11,49
1935-12,31
1936-01,129
1936-02,57
1936-03,84
1936-04,33
1936-05,39
1936-06,2
1936-07,10
1936-08,0
1936-09,115
1936-10,52
1936-11,154
1936-12,73
1937-01,141
1937-02,388
1937-03,93
1937-04,13
1937-05,14
1937-06,0
1937-07,1
1937-08,3
1937-09,24
1937-10,5
1937-11,62
1937-12,37
1938-01,42
1938-02,48
1938-03,19
1938-04,151
1938-05,1
1938-06,5
1938-07,41
1938-08,11
1938-09,109
1938-10,NA
1938-11,58
1938-12,186
1939-01,83
1939-02,220
1939-03,26
1939-04,90
1939-05,9
1939-06,1
1939-07,0
1939-08,0
1939-09,0
1939-10,0
1939-11,0
1939-12,NA
1940-01,NA
1940-02,NA
1940-03,NA
1940-04,NA
1940-05,NA
1940-06,NA
1940-07,0
1940-08,8
1940-09,8
1940-10,36
1940-11,247
1940-12,86
1941-01,10
1941-02,6
1941-03,113
1941-04,46
1941-05,0
1941-06,NA
1941-07,NA
1941-08,NA
1941-09,NA
1941-10,NA
1941-11,NA
1941-12,NA
1942-01,149
1942-02,NA
1942-03,175
1942-04,10
1942-05,26
1942-06,54
1942-07,0
1942-08,4
1942-09,37
1942-10,14
1942-11,83
1942-12,102
1943-01,45
1943-02,18
1943-03,55
1943-04,125
1943-05,9
1943-06,0
1943-07,34
1943-08,29
1943-09,13
1943-10,41
1943-11,226
1943-12,30
1944-01,80
1944-02,106
1944-03,NA
1944-04,NA
1944-05,NA
1944-06,10
1944-07,1
1944-08,0
1944-09,NA
1944-10,NA
1944-11,NA
1944-12,NA
1945-01,NA
1945-02,NA
1945-03,36
1945-04,NA
1945-05,NA
1945-06,NA
1945-07,2
1945-08,2
1945-09,NA
1945-10,NA
1945-11,21
1945-12,NA
1946-01,234
1946-02,100
1946-03,42
1946-04,0
1946-05,0
1946-06,0
1946-07,0
1946-08,0
1946-09,0
1946-10,NA
1946-11,NA
1946-12,NA
1947-01,NA
1947-02,NA
1947-03,NA
1947-04,NA
1947-05,NA
1947-06,NA
1947-07,NA
1947-08,NA
1947-09,NA
1947-10,42
1947-11,NA
1947-12,NA
1948-01,8
1948-02,41
1948-03,260
1948-04,24
1948-05,35
1948-06,0
1948-07,18
1948-08,0
1948-09,34
1948-10,40
1948-11,41
1948-12,26
1949-01,155
1949-02,59
1949-03,36
1949-04,28
1949-05,43
1949-06,11
1949-07,10
1949-08,0
1949-09,18
1949-10,7
1949-11,132
1949-12,206
1950-01,28
1950-02,NA
1950-03,75
1950-04,NA
1950-05,11
1950-06,3
1950-07,NA
1950-08,1
1950-09,2
1950-10,NA
1950-11,48
1950-12,NA
1951-01,29
1951-02,NA
1951-03,NA
1951-04,193
1951-05,72
1951-06,4
1951-07,105
1951-08,182
1951-09,31
1951-10,137
1951-11,58
1951-12,112
1952-01,NA
1952-02,191
1952-03,121
1952-04,9
1952-05,0
1952-06,50
1952-07,15
1952-08,1
1952-09,1
1952-10,21
1952-11,176
1952-12,147
1953-01,329
1953-02,198
1953-03,29
1953-04,222
1953-05,0
1953-06,0
1953-07,0
1953-08,NA
1953-09,28
1953-10,NA
1953-11,NA
1953-12,236
1954-01,42
1954-02,NA
1954-03,NA
1954-04,NA
1954-05,NA
1954-06,10
1954-07,4
1954-08,13
1954-09,67
1954-10,74
1954-11,242
1954-12,NA
1955-01,285
1955-02,NA
1955-03,175
1955-04,136
1955-05,NA
1955-06,6
1955-07,0
1955-08,0
1955-09,0
1955-10,166
1955-11,435
1955-12,243
1956-01,44
1956-02,530
1956-03,102
1956-04,3
1956-05,84
1956-06,48
1956-07,1
1956-08,0
1956-09,142
1956-10,26
1956-11,28
1956-12,163
1957-01,180
1957-02,234
1957-03,159
1957-04,13
1957-05,14
1957-06,9
1957-07,65
1957-08,35
1957-09,119
1957-10,230
1957-11,87
1957-12,120
1958-01,834
1958-02,105
1958-03,62
1958-04,66
1958-05,0
1958-06,18
1958-07,0
1958-08,0
1958-09,184
1958-10,41
1958-11,309
1958-12,331
1959-01,NA
1959-02,NA
1959-03,NA
1959-04,NA
1959-05,NA
1959-06,NA
1959-07,NA
1959-08,NA
1959-09,NA
1959-10,NA
1959-11,NA
1959-12,NA
1960-01,54
1960-02,305
1960-03,27
1960-04,85
1960-05,21
1960-06,2
1960-07,2
1960-08,17
1960-09,56
1960-10,8
1960-11,117
1960-12,142
1961-01,21
1961-02,147
1961-03,70
1961-04,16
1961-05,12
1961-06,110
1961-07,13
1961-08,14
1961-09,64
1961-10,32
1961-11,57
1961-12,104
1962-01,41
1962-02,30
1962-03,40
1962-04,22
1962-05,5
1962-06,0
1962-07,3
1962-08,20
1962-09,0
1962-10,16
1962-11,160
1962-12,42
1963-01,48
1963-02,60
1963-03,36
1963-04,93
1963-05,3
1963-06,46
1963-07,42
1963-08,0
1963-09,0
1963-10,20
1963-11,39
1963-12,54
1964-01,113
1964-02,NA
1964-03,3
1964-04,36
1964-05,6
1964-06,0
1964-07,0
1964-08,11
1964-09,0
1964-10,86
1964-11,39
1964-12,90
1965-01,88
1965-02,26
1965-03,27
1965-04,34
1965-05,0
1965-06,1
1965-07,0
1965-08,2
1965-09,33
1965-10,34
1965-11,80
1965-12,21
1966-01,178
1966-02,174
1966-03,9
1966-04,12
1966-05,23
1966-06,7
1966-07,1
1966-08,9
1966-09,13
1966-10,51
1966-11,53
1966-12,58
1967-01,82
1967-02,157
1967-03,105
1967-04,97
1967-05,0
1967-06,14
1967-07,15
1967-08,3
1967-09,0
1967-10,33
1967-11,24
1967-12,14
1968-01,31
1968-02,127
1968-03,79
1968-04,71
1968-05,2
1968-06,29
1968-07,2
1968-08,11
1968-09,1
1968-10,20
1968-11,79
1968-12,72
1969-01,44
1969-02,53
1969-03,98
1969-04,27
1969-05,1
1969-06,8
1969-07,20
1969-08,0
1969-09,51
1969-10,160
1969-11,32
1969-12,83
1970-01,18
1970-02,48
1970-03,66
1970-04,6
1970-05,3
1970-06,15
1970-07,2
1970-08,0
1970-09,12
1970-10,18
1970-11,68
1970-12,102
1971-01,81
1971-02,32
1971-03,127
1971-04,54
1971-05,24
1971-06,8
1971-07,1
1971-08,0
1971-09,17
1971-10,69
1971-11,112
1971-12,92
1972-01,198
1972-02,98
1972-03,210
1972-04,18
1972-05,65
1972-06,0
1972-07,1
1972-08,2
1972-09,0
1972-10,36
1972-11,21
1972-12,60
1973-01,55
1973-02,58
1973-03,27
1973-04,54
1973-05,4
1973-06,4
1973-07,0
1973-08,2
1973-09,193
1973-10,53
1973-11,70
1973-12,176
1974-01,141
1974-02,64
1974-03,43
1974-04,78
1974-05,2
1974-06,0
1974-07,83
1974-08,1
1974-09,14
1974-10,39
1974-11,92
1974-12,133
1975-01,117
1975-02,88
1975-03,42
1975-04,9
1975-05,57
1975-06,5
1975-07,0
1975-08,2
1975-09,5
1975-10,4
1975-11,37
1975-12,197
1976-01,238
1976-02,140
1976-03,49
1976-04,15
1976-05,18
1976-06,1
1976-07,0
1976-08,0
1976-09,3
1976-10,21
1976-11,107
1976-12,55
1977-01,74
1977-02,146
1977-03,110
1977-04,3
1977-05,1
1977-06,0
1977-07,0
1977-08,8
1977-09,120
1977-10,15
1977-11,32
1977-12,93
1978-01,92
1978-02,267
1978-03,137
1978-04,90
1978-05,4
1978-06,0
1978-07,9
1978-08,0
1978-09,0
1978-10,57
1978-11,109
1978-12,75
1979-01,83
1979-02,5
1979-03,76
1979-04,29
1979-05,12
1979-06,1
1979-07,3
1979-08,11
1979-09,6
1979-10,49
1979-11,35
1979-12,111
1980-01,87
1980-02,135
1980-03,25
1980-04,21
1980-05,13
1980-06,0
1980-07,0
1980-08,10
1980-09,54
1980-10,17
1980-11,132
1980-12,160
1981-01,104
1981-02,123
1981-03,109
1981-04,19
1981-05,25
1981-06,0
1981-07,0
1981-08,20
1981-09,47
1981-10,52
1981-11,75
1981-12,34
1982-01,204
1982-02,11
1982-03,8
1982-04,81
1982-05,27
1982-06,1
1982-07,4
1982-08,6
1982-09,11
1982-10,13
1982-11,7
1982-12,60
1983-01,44
1983-02,10
1983-03,45
1983-04,17
1983-05,59
1983-06,2
1983-07,2
