
Station ID, Name, Latitude, Longitude, Altitude
SF000068712, CAPE COLUMBINE, -32.83, 17.85, 67.0
params, 
Observed tmax (monthly_means)
date (YYYY-MM), tmax
1959-01,19.81
1959-02,20.09
1959-03,20.05
1959-04,17.85
1959-05,15.60
1959-06,16.12
1959-07,16.21
1959-08,17.17
1959-09,17.94
1959-10,18.36
1959-11,18.18
1959-12,19.67
1960-01,20.01
1960-02,21.43
1960-03,19.05
1960-04,19.53
1960-05,15.73
1960-06,16.95
1960-07,16.47
1960-08,15.38
1960-09,17.43
1960-10,18.76
1960-11,19.84
1960-12,20.90
1961-01,21.36
1961-02,21.36
1961-03,21.09
1961-04,19.05
1961-05,17.04
1961-06,16.67
1961-07,17.55
1961-08,16.76
1961-09,16.80
1961-10,17.19
1961-11,18.72
1961-12,20.18
1962-01,20.70
1962-02,21.28
1962-03,20.19
1962-04,19.40
1962-05,19.70
1962-06,15.17
1962-07,15.82
1962-08,16.01
1962-09,16.82
1962-10,18.64
1962-11,18.59
1962-12,19.73
1963-01,23.80
1963-02,20.75
1963-03,21.97
1963-04,19.09
1963-05,19.37
1963-06,17.40
1963-07,16.23
1963-08,16.36
1963-09,17.68
1963-10,19.20
1963-11,20.70
1963-12,22.02
1964-01,21.20
1964-02,21.28
1964-03,20.67
1964-04,20.43
1964-05,19.26
1964-06,16.33
1964-07,16.20
1964-08,15.84
1964-09,16.30
1964-10,17.98
1964-11,19.12
1964-12,20.63
1965-01,21.76
1965-02,21.34
1965-03,20.48
1965-04,20.46
1965-05,17.82
1965-06,16.83
1965-07,15.08
1965-08,15.63
1965-09,17.84
1965-10,18.99
1965-11,19.68
1965-12,19.57
1966-01,19.72
1966-02,19.44
1966-03,19.73
1966-04,22.20
1966-05,17.55
1966-06,16.90
1966-07,15.33
1966-08,16.73
1966-09,17.20
1966-10,18.64
1966-11,19.80
1966-12,20.35
1967-01,19.50
1967-02,20.22
1967-03,20.14
1967-04,18.10
1967-05,17.34
1967-06,14.80
1967-07,16.10
1967-08,15.99
1967-09,16.77
1967-10,18.25
1967-11,19.61
1967-12,20.31
1968-01,20.93
1968-02,20.56
1968-03,21.36
1968-04,19.03
1968-05,17.53
1968-06,16.31
1968-07,14.80
1968-08,15.31
1968-09,17.11
1968-10,18.08
1968-11,20.00
1968-12,20.89
1969-01,21.32
1969-02,21.38
1969-03,21.44
1969-04,17.93
1969-05,16.43
1969-06,15.58
1969-07,16.09
1969-08,17.02
1969-09,16.55
1969-10,18.14
1969-11,19.45
1969-12,19.77
1970-01,20.59
1970-02,20.48
1970-03,20.66
1970-04,19.71
1970-05,16.07
1970-06,16.00
1970-07,14.61
1970-08,14.90
1970-09,16.51
1970-10,18.68
1970-11,18.45
1970-12,19.52
1971-01,19.88
1971-02,21.13
1971-03,20.81
1971-04,17.43
1971-05,18.28
1971-06,15.61
1971-07,15.30
1971-08,14.96
1971-09,15.50
1971-10,17.65
1971-11,18.97
1971-12,19.69
1972-01,21.34
1972-02,21.44
1972-03,22.37
1972-04,18.82
1972-05,18.53
1972-06,17.01
1972-07,16.87
1972-08,16.82
1972-09,17.64
1972-10,18.96
1972-11,20.66
1972-12,21.15
1973-01,21.96
1973-02,22.13
1973-03,20.40
1973-04,21.01
1973-05,17.54
1973-06,17.70
1973-07,16.18
1973-08,16.53
1973-09,16.50
1973-10,19.48
1973-11,19.89
1973-12,20.70
1974-01,21.54
1974-02,21.96
1974-03,22.31
1974-04,19.84
1974-05,17.95
1974-06,17.14
1974-07,15.93
1974-08,15.99
1974-09,16.70
1974-10,17.69
1974-11,19.27
1974-12,20.53
1975-01,20.69
1975-02,21.46
1975-03,21.03
1975-04,19.81
1975-05,18.42
1975-06,17.34
1975-07,15.98
1975-08,15.64
1975-09,17.65
1975-10,18.16
1975-11,19.29
1975-12,21.03
1976-01,21.75
1976-02,20.56
1976-03,20.19
1976-04,19.59
1976-05,19.89
1976-06,16.46
1976-07,15.76
1976-08,15.82
1976-09,16.81
1976-10,18.13
1976-11,18.94
1976-12,20.68
1977-01,21.39
1977-02,21.96
1977-03,21.19
1977-04,19.66
1977-05,16.87
1977-06,16.75
1977-07,15.70
1977-08,17.10
1977-09,16.68
1977-10,18.51
1977-11,20.02
1977-12,21.83
1978-01,21.63
1978-02,21.41
1978-03,21.25
1978-04,21.21
1978-05,17.04
1978-06,17.99
1978-07,17.68
1978-08,15.74
1978-09,16.55
1978-10,17.44
1978-11,19.67
1978-12,20.53
1979-01,21.66
1979-02,21.46
1979-03,19.87
1979-04,19.43
1979-05,19.11
1979-06,17.71
1979-07,16.27
1979-08,16.97
1979-09,16.94
1979-10,18.09
1979-11,20.16
1979-12,20.58
1980-01,21.48
1980-02,21.42
1980-03,20.99
1980-04,19.27
1980-05,17.83
1980-06,16.79
1980-07,18.15
1980-08,17.58
1980-09,17.13
1980-10,18.31
1980-11,19.40
1980-12,20.43
1981-01,20.87
1981-02,21.44
1981-03,20.23
1981-04,20.67
1981-05,18.98
1981-06,15.68
1981-07,15.01
1981-08,15.63
1981-09,17.55
1981-10,18.66
1981-11,19.35
1981-12,20.88
1982-01,21.64
1982-02,21.87
1982-03,20.08
1982-04,19.64
1982-05,18.20
1982-06,15.70
1982-07,16.02
1982-08,16.18
1982-09,17.62
1982-10,19.17
1982-11,18.67
1982-12,20.60
1983-01,21.34
1983-02,21.28
1983-03,20.05
1983-04,20.95
1983-05,17.65
1983-06,15.78
1983-07,16.55
1983-08,16.61
1983-09,16.60
1983-10,18.09
1983-11,18.67
1983-12,20.87
1984-01,22.11
1984-02,21.40
1984-03,22.86
1984-04,21.07
1984-05,18.68
1984-06,18.14
1984-07,17.34
1984-08,16.64
1984-09,16.93
1984-10,17.87
1984-11,19.80
1984-12,20.34
1985-01,21.91
1985-02,21.20
1985-03,20.13
1985-04,20.39
1985-05,19.04
1985-06,17.23
1985-07,16.22
1985-08,17.52
1985-09,17.33
1985-10,18.14
1985-11,20.55
1985-12,20.71
1986-01,21.36
1986-02,21.53
1986-03,19.92
1986-04,20.01
1986-05,18.35
1986-06,17.34
1986-07,16.64
1986-08,17.37
1986-09,17.70
1986-10,19.05
1986-11,19.66
1986-12,21.01
1987-01,21.64
1987-02,20.57
1987-03,20.14
1987-04,19.11
1987-05,20.27
1987-06,17.64
1987-07,16.69
1987-08,17.20
1987-09,17.34
1987-10,18.29
1987-11,19.30
1987-12,21.63
1988-01,20.77
1988-02,22.12
1988-03,20.85
1988-04,19.43
1988-05,19.40
1988-06,16.74
1988-07,15.51
1988-08,NA
1988-09,17.08
1988-10,18.11
1988-11,20.06
1988-12,22.26
1989-01,21.42
1989-02,23.47
1989-03,20.33
1989-04,21.02
1989-05,17.75
1989-06,16.16
1989-07,15.81
1989-08,16.75
1989-09,17.88
1989-10,17.63
1989-11,18.70
1989-12,20.87
1990-01,20.63
1990-02,21.79
1990-03,21.01
1990-04,19.40
1990-05,18.73
1990-06,15.74
1990-07,14.85
1990-08,16.65
1990-09,17.53
1990-10,17.66
1990-11,19.95
1990-12,22.15
1991-01,NA
1991-02,20.84
1991-03,NA
1991-04,20.14
1991-05,19.41
1991-06,17.01
1991-07,16.05
1991-08,15.79
1991-09,16.67
1991-10,18.17
1991-11,18.61
1991-12,21.06
1992-01,21.32
1992-02,22.04
1992-03,21.11
1992-04,19.45
1992-05,17.51
1992-06,16.45
1992-07,15.67
1992-08,16.58
1992-09,16.90
1992-10,18.38
1992-11,20.12
1992-12,21.87
1993-01,22.12
1993-02,21.60
1993-03,21.29
1993-04,19.33
1993-05,16.84
1993-06,16.98
1993-07,17.60
1993-08,17.80
1993-09,17.32
1993-10,18.51
1993-11,20.30
1993-12,20.87
1994-01,20.63
1994-02,22.50
1994-03,21.55
1994-04,21.18
1994-05,16.54
1994-06,15.93
1994-07,16.64
1994-08,16.73
1994-09,NA
1994-10,18.83
1994-11,21.37
1994-12,22.29
1995-01,21.83
1995-02,22.29
1995-03,22.71
1995-04,20.04
1995-05,19.19
1995-06,17.37
1995-07,15.50
1995-08,16.44
1995-09,17.89
1995-10,18.72
1995-11,20.53
1995-12,22.38
1996-01,22.23
1996-02,22.04
1996-03,21.00
1996-04,21.53
1996-05,19.43
1996-06,17.62
1996-07,16.22
1996-08,16.72
1996-09,17.13
1996-10,18.98
1996-11,18.93
1996-12,20.96
1997-01,22.00
1997-02,21.20
1997-03,20.02
1997-04,19.65
1997-05,18.89
1997-06,15.69
1997-07,17.62
1997-08,16.70
1997-09,18.52
1997-10,19.93
1997-11,20.05
1997-12,21.01
1998-01,21.56
1998-02,23.27
1998-03,21.11
1998-04,20.33
1998-05,18.22
1998-06,16.60
1998-07,16.62
1998-08,17.04
1998-09,17.26
1998-10,19.52
1998-11,20.13
1998-12,21.25
1999-01,21.68
1999-02,21.76
1999-03,22.83
1999-04,20.61
1999-05,18.66
1999-06,18.39
1999-07,16.55
1999-08,17.73
1999-09,17.07
1999-10,19.98
1999-11,20.55
1999-12,24.09
2000-01,22.66
2000-02,21.94
2000-03,20.47
2000-04,19.96
2000-05,18.87
2000-06,18.33
2000-07,17.62
2000-08,17.09
2000-09,16.75
2000-10,19.74
2000-11,21.21
2000-12,19.84
2001-01,21.10
2001-02,21.87
2001-03,20.42
2001-04,20.92
2001-05,19.93
	
