
Station ID, Name, Latitude, Longitude, Altitude
SF000068712, CAPE COLUMBINE, -32.83, 17.85, 67.0
params, 
Observed tmin (monthly_means)
date (YYYY-MM), tmin
1959-01,12.62
1959-02,12.80
1959-03,13.18
1959-04,11.94
1959-05,11.06
1959-06,10.37
1959-07,9.87
1959-08,10.49
1959-09,11.03
1959-10,11.11
1959-11,11.38
1959-12,12.48
1960-01,12.81
1960-02,13.68
1960-03,12.45
1960-04,11.89
1960-05,10.48
1960-06,11.33
1960-07,9.43
1960-08,9.12
1960-09,10.50
1960-10,11.48
1960-11,12.40
1960-12,13.69
1961-01,13.65
1961-02,13.78
1961-03,12.84
1961-04,12.45
1961-05,NA
1961-06,NA
1961-07,10.98
1961-08,10.20
1961-09,11.17
1961-10,10.30
1961-11,11.86
1961-12,12.71
1962-01,13.06
1962-02,14.58
1962-03,13.38
1962-04,12.56
1962-05,11.94
1962-06,10.86
1962-07,9.64
1962-08,9.72
1962-09,10.12
1962-10,10.96
1962-11,11.03
1962-12,11.76
1963-01,14.52
1963-02,12.60
1963-03,13.45
1963-04,11.87
1963-05,11.72
1963-06,11.55
1963-07,10.03
1963-08,10.47
1963-09,12.24
1963-10,12.81
1963-11,13.81
1963-12,14.21
1964-01,13.88
1964-02,13.92
1964-03,13.57
1964-04,12.53
1964-05,12.37
1964-06,10.06
1964-07,10.11
1964-08,9.27
1964-09,9.41
1964-10,11.12
1964-11,12.13
1964-12,13.25
1965-01,14.05
1965-02,14.79
1965-03,13.92
1965-04,13.16
1965-05,11.30
1965-06,9.30
1965-07,9.44
1965-08,9.54
1965-09,10.96
1965-10,12.08
1965-11,11.79
1965-12,12.89
1966-01,12.67
1966-02,12.36
1966-03,12.56
1966-04,14.01
1966-05,11.27
1966-06,10.60
1966-07,9.52
1966-08,10.25
1966-09,10.60
1966-10,11.48
1966-11,12.18
1966-12,12.85
1967-01,12.65
1967-02,12.76
1967-03,12.34
1967-04,11.33
1967-05,11.48
1967-06,10.28
1967-07,9.43
1967-08,9.38
1967-09,10.00
1967-10,11.37
1967-11,12.04
1967-12,12.78
1968-01,13.88
1968-02,13.22
1968-03,13.00
1968-04,12.45
1968-05,12.12
1968-06,9.70
1968-07,9.35
1968-08,9.36
1968-09,10.63
1968-10,11.64
1968-11,12.40
1968-12,13.47
1969-01,14.38
1969-02,14.22
1969-03,13.62
1969-04,11.51
1969-05,10.08
1969-06,10.14
1969-07,9.84
1969-08,10.57
1969-09,9.73
1969-10,11.43
1969-11,11.84
1969-12,12.37
1970-01,13.43
1970-02,13.23
1970-03,13.25
1970-04,11.68
1970-05,11.19
1970-06,10.32
1970-07,8.74
1970-08,9.35
1970-09,9.97
1970-10,11.60
1970-11,11.07
1970-12,12.13
1971-01,12.73
1971-02,12.89
1971-03,12.79
1971-04,11.16
1971-05,11.11
1971-06,9.79
1971-07,9.29
1971-08,9.43
1971-09,8.87
1971-10,10.83
1971-11,11.60
1971-12,12.97
1972-01,13.89
1972-02,12.92
1972-03,14.14
1972-04,12.25
1972-05,11.88
1972-06,11.21
1972-07,10.32
1972-08,9.49
1972-09,11.28
1972-10,11.76
1972-11,13.25
1972-12,13.71
1973-01,14.25
1973-02,14.32
1973-03,13.88
1973-04,13.06
1973-05,10.40
1973-06,11.23
1973-07,10.17
1973-08,9.46
1973-09,9.31
1973-10,12.53
1973-11,12.53
1973-12,12.95
1974-01,14.09
1974-02,13.63
1974-03,13.75
1974-04,12.60
1974-05,11.98
1974-06,11.45
1974-07,9.66
1974-08,10.06
1974-09,10.08
1974-10,10.84
1974-11,12.65
1974-12,13.11
1975-01,13.53
1975-02,14.57
1975-03,13.26
1975-04,12.76
1975-05,12.38
1975-06,11.84
1975-07,10.45
1975-08,9.39
1975-09,10.48
1975-10,11.27
1975-11,12.28
1975-12,12.47
1976-01,13.30
1976-02,12.84
1976-03,12.83
1976-04,12.53
1976-05,12.40
1976-06,11.33
1976-07,10.01
1976-08,9.44
1976-09,10.73
1976-10,10.97
1976-11,11.80
1976-12,14.31
1977-01,14.48
1977-02,14.34
1977-03,13.12
1977-04,13.60
1977-05,11.21
1977-06,11.81
1977-07,9.40
1977-08,10.77
1977-09,11.17
1977-10,11.10
1977-11,12.27
1977-12,13.94
1978-01,13.71
1978-02,13.86
1978-03,13.49
1978-04,13.27
1978-05,10.87
1978-06,10.80
1978-07,11.07
1978-08,9.95
1978-09,10.31
1978-10,10.51
1978-11,12.17
1978-12,13.86
1979-01,13.65
1979-02,13.62
1979-03,12.03
1979-04,13.07
1979-05,12.17
1979-06,10.96
1979-07,9.95
1979-08,10.38
1979-09,9.75
1979-10,11.23
1979-11,12.64
1979-12,12.65
1980-01,13.50
1980-02,13.18
1980-03,13.54
1980-04,13.01
1980-05,10.68
1980-06,10.06
1980-07,10.12
1980-08,10.27
1980-09,10.92
1980-10,10.90
1980-11,12.33
1980-12,13.33
1981-01,13.85
1981-02,13.31
1981-03,13.06
1981-04,12.56
1981-05,11.28
1981-06,9.16
1981-07,8.12
1981-08,7.92
1981-09,9.29
1981-10,11.19
1981-11,11.29
1981-12,12.13
