month,pre
1940-01,3
1940-02,19
1940-03,16
1940-04,21
1940-05,32
1940-06,66
1940-07,18
1940-08,9
1940-09,21
1940-10,10
1940-11,18
1940-12,6
1941-01,1
1941-02,6
1941-03,1
1941-04,34
1941-05,99
1941-06,49
1941-07,35
1941-08,40
1941-09,33
1941-10,18
1941-11,4
1941-12,12
1942-01,3
1942-02,0
1942-03,0
1942-04,3
1942-05,27
1942-06,104
1942-07,17
1942-08,34
1942-09,22
1942-10,18
1942-11,0
1942-12,9
1943-01,5
1943-02,6
1943-03,5
1943-04,0
1943-05,4
1943-06,9
1943-07,40
1943-08,34
1943-09,23
1943-10,10
1943-11,0
1943-12,0
1944-01,5
1944-02,0
1944-03,7
1944-04,0
1944-05,41
1944-06,67
1944-07,33
1944-08,7
1944-09,16
1944-10,9
1944-11,6
1944-12,13
1945-01,0
1945-02,1
1945-03,1
1945-04,34
1945-05,15
1945-06,53
1945-07,41
1945-08,31
1945-09,4
1945-10,14
1945-11,8
1945-12,5
1946-01,1
1946-02,5
1946-03,10
1946-04,36
1946-05,48
1946-06,22
1946-07,23
1946-08,11
1946-09,71
1946-10,10
1946-11,5
1946-12,12
1947-01,0
1947-02,0
1947-03,17
1947-04,14
1947-05,14
1947-06,29
1947-07,50
1947-08,34
1947-09,7
1947-10,40
1947-11,3
1947-12,3
1948-01,3
1948-02,NA
1948-03,25
1948-04,NA
1948-05,36
1948-06,17
1948-07,NA
1948-08,11
1948-09,NA
1948-10,6
1948-11,NA
1948-12,NA
1949-01,NA
1949-02,NA
1949-03,NA
1949-04,NA
1949-05,NA
1949-06,NA
1949-07,NA
1949-08,NA
1949-09,NA
1949-10,NA
1949-11,NA
1949-12,NA
1950-01,NA
1950-02,NA
1950-03,NA
1950-04,NA
1950-05,NA
1950-06,NA
1950-07,NA
1950-08,NA
1950-09,NA
1950-10,NA
1950-11,NA
1950-12,NA
1951-01,NA
1951-02,NA
1951-03,NA
1951-04,NA
1951-05,NA
1951-06,NA
1951-07,NA
1951-08,NA
1951-09,NA
1951-10,NA
1951-11,NA
1951-12,NA
1952-01,NA
1952-02,NA
1952-03,NA
1952-04,NA
1952-05,NA
1952-06,NA
1952-07,NA
1952-08,NA
1952-09,NA
1952-10,NA
1952-11,NA
1952-12,NA
1953-01,NA
1953-02,NA
1953-03,6
1953-04,92
1953-05,NA
1953-06,NA
1953-07,41
1953-08,55
1953-09,8
1953-10,NA
1953-11,NA
1953-12,NA
1954-01,NA
1954-02,NA
1954-03,NA
1954-04,NA
1954-05,NA
1954-06,NA
1954-07,NA
1954-08,NA
1954-09,NA
1954-10,NA
1954-11,NA
1954-12,NA
1955-01,NA
1955-02,NA
1955-03,NA
1955-04,NA
1955-05,10
1955-06,26
1955-07,NA
1955-08,NA
1955-09,NA
1955-10,NA
1955-11,NA
1955-12,NA
1956-01,NA
1956-02,NA
1956-03,NA
1956-04,NA
1956-05,NA
1956-06,NA
1956-07,NA
1956-08,NA
1956-09,NA
1956-10,NA
1956-11,NA
1956-12,NA
1957-01,NA
1957-02,NA
1957-03,NA
1957-04,7
1957-05,NA
1957-06,NA
1957-07,65
1957-08,72
1957-09,24
1957-10,30
1957-11,NA
1957-12,NA
1958-01,NA
1958-02,NA
1958-03,NA
1958-04,NA
1958-05,NA
1958-06,NA
1958-07,NA
1958-08,NA
1958-09,NA
1958-10,NA
1958-11,NA
1958-12,NA
1959-01,8
1959-02,6
1959-03,20
1959-04,31
1959-05,128
1959-06,10
1959-07,26
1959-08,26
1959-09,20
1959-10,33
1959-11,1
1959-12,3
1960-01,0
1960-02,1
1960-03,6
1960-04,21
1960-05,41
1960-06,54
1960-07,14
1960-08,15
1960-09,7
1960-10,14
1960-11,0
1960-12,43
1961-01,12
1961-02,2
1961-03,5
1961-04,39
1961-05,20
1961-06,48
1961-07,21
1961-08,62
1961-09,34
1961-10,8
1961-11,0
1961-12,4
1962-01,8
1962-02,12
1962-03,13
1962-04,22
1962-05,18
1962-06,134
1962-07,47
1962-08,84
1962-09,16
1962-10,28
1962-11,15
1962-12,2
1963-01,0
1963-02,1
1963-03,6
1963-04,2
1963-05,8
1963-06,37
1963-07,28
1963-08,61
1963-09,20
1963-10,10
1963-11,34
1963-12,3
1964-01,0
1964-02,16
1964-03,0
1964-04,10
1964-05,14
1964-06,62
1964-07,25
1964-08,29
1964-09,17
1964-10,12
1964-11,9
1964-12,5
1965-01,7
1965-02,21
1965-03,18
1965-04,17
1965-05,18
1965-06,37
1965-07,18
1965-08,18
1965-09,4
1965-10,1
1965-11,0
1965-12,10
1966-01,0
1966-02,0
1966-03,23
1966-04,4
1966-05,30
1966-06,32
1966-07,44
1966-08,33
1966-09,42
1966-10,2
1966-11,1
1966-12,2
1967-01,3
1967-02,1
1967-03,2
1967-04,19
1967-05,37
1967-06,66
1967-07,20
1967-08,29
1967-09,11
1967-10,15
1967-11,22
1967-12,0
1968-01,11
1968-02,2
1968-03,0
1968-04,21
1968-05,56
1968-06,52
1968-07,49
1968-08,46
1968-09,5
1968-10,28
1968-11,0
1968-12,2
1969-01,14
1969-02,0
1969-03,4
1969-04,25
1969-05,5
1969-06,35
1969-07,23
1969-08,21
1969-09,10
1969-10,27
1969-11,6
1969-12,0
1970-01,2
1970-02,9
1970-03,0
1970-04,1
1970-05,35
1970-06,61
1970-07,41
1970-08,37
1970-09,12
1970-10,24
1970-11,4
1970-12,10
1971-01,1
1971-02,1
1971-03,7
1971-04,5
1971-05,14
1971-06,38
1971-07,31
1971-08,60
1971-09,3
1971-10,7
1971-11,1
1971-12,4
1972-01,4
1972-02,3
1972-03,16
1972-04,16
1972-05,29
1972-06,31
1972-07,21
1972-08,24
1972-09,16
1972-10,4
1972-11,0
1972-12,15
1973-01,1
1973-02,3
1973-03,11
1973-04,2
1973-05,30
1973-06,10
1973-07,42
1973-08,36
1973-09,19
1973-10,4
1973-11,3
1973-12,8
1974-01,3
1974-02,0
1974-03,4
1974-04,2
1974-05,48
1974-06,58
1974-07,12
1974-08,128
1974-09,14
1974-10,23
1974-11,11
1974-12,0
1975-01,22
1975-02,3
1975-03,2
1975-04,22
1975-05,83
1975-06,38
1975-07,52
1975-08,33
1975-09,1
1975-10,22
1975-11,10
1975-12,1
1976-01,1
1976-02,0
1976-03,15
1976-04,34
1976-05,14
1976-06,77
1976-07,37
1976-08,25
1976-09,20
1976-10,1
1976-11,35
1976-12,15
1977-01,11
1977-02,0
1977-03,2
1977-04,28
1977-05,57
1977-06,66
1977-07,84
1977-08,33
1977-09,31
1977-10,5
1977-11,11
1977-12,1
1978-01,2
1978-02,10
1978-03,17
1978-04,21
1978-05,11
1978-06,6
1978-07,11
1978-08,51
1978-09,20
1978-10,13
1978-11,10
1978-12,11
1979-01,14
1979-02,7
1979-03,8
1979-04,1
1979-05,47
1979-06,52
1979-07,25
1979-08,14
1979-09,27
1979-10,26
1979-11,5
1979-12,0
1980-01,11
1980-02,5
1980-03,0
1980-04,25
1980-05,61
1980-06,45
1980-07,12
1980-08,28
1980-09,7
1980-10,8
1980-11,40
1980-12,5
1981-01,3
1981-02,0
1981-03,24
1981-04,9
1981-05,7
1981-06,21
1981-07,71
1981-08,29
1981-09,19
1981-10,4
1981-11,10
1981-12,2
1982-01,20
1982-02,1
1982-03,8
1982-04,35
1982-05,21
1982-06,81
1982-07,48
1982-08,29
1982-09,3
1982-10,5
1982-11,6
1982-12,17
1983-01,4
1983-02,16
1983-03,14
1983-04,8
1983-05,101
1983-06,54
1983-07,31
1983-08,17
1983-09,20
1983-10,8
1983-11,18
1983-12,3
1984-01,4
1984-02,0
1984-03,4
1984-04,6
1984-05,71
1984-06,17
1984-07,32
1984-08,13
1984-09,53
1984-10,44
