
Station ID, Name, Latitude, Longitude, Altitude
68816, CAPE TOWN INTNL. AIRPORT, -33.98, 18.6, 42.0
params, 
Observed ppt (monthly_totals)
date (YYYY-MM), ppt
1979-01,17.30
1979-02,NA
1979-03,26.10
1979-04,9.00
1979-05,62.60
1979-06,65.10
1979-07,45.30
1979-08,38.20
1979-09,NA
1979-10,62.80
1979-11,2.00
1979-12,2.20
1980-01,14.00
1980-02,16.60
1980-03,1.00
1980-04,52.00
1980-05,89.10
1980-06,75.90
1980-07,29.20
1980-08,39.30
1980-09,NA
1980-10,20.10
1980-11,NA
1980-12,36.10
1981-01,NA
1981-02,0.20
1981-03,42.20
1981-04,NA
1981-05,14.20
1981-06,56.20
1981-07,NA
1981-08,98.50
1981-09,NA
1981-10,NA
1981-11,NA
1981-12,10.30
1982-01,NA
1982-02,NA
1982-03,12.30
1982-04,47.60
1982-05,NA
1982-06,NA
1982-07,158.50
1982-08,76.60
1982-09,29.80
1982-10,109.30
1982-11,28.90
1982-12,25.00
1983-01,11.10
1983-02,48.70
1983-03,36.10
1983-04,3.40
1983-05,91.30
1983-06,164.10
1983-07,59.60
1983-08,35.50
1983-09,35.60
1983-10,14.60
1983-11,3.60
1983-12,2.30
1984-01,14.80
1984-02,16.30
1984-03,33.70
1984-04,20.80
1984-05,135.40
1984-06,27.50
1984-07,61.00
1984-08,26.80
1984-09,83.70
1984-10,80.10
1984-11,2.00
1984-12,69.90
1985-01,21.50
1985-02,8.30
1985-03,79.20
1985-04,48.10
1985-05,45.40
1985-06,112.00
1985-07,118.30
1985-08,79.60
1985-09,31.60
1985-10,5.10
1985-11,3.00
1985-12,9.00
1986-01,11.20
1986-02,7.70
1986-03,35.20
1986-04,31.50
1986-05,52.00
1986-06,124.10
1986-07,106.10
1986-08,115.40
1986-09,28.90
1986-10,36.10
1986-11,20.70
1986-12,8.10
1987-01,15.00
1987-02,18.60
1987-03,13.30
1987-04,36.40
1987-05,101.90
1987-06,118.70
1987-07,142.60
1987-08,100.20
1987-09,47.30
1987-10,14.40
1987-11,10.00
1987-12,19.50
1988-01,0.80
1988-02,0.00
1988-03,32.50
1988-04,41.10
1988-05,56.70
1988-06,45.50
1988-07,95.80
1988-08,78.30
1988-09,41.30
1988-10,20.00
1988-11,7.10
1988-12,8.70
1989-01,1.10
1989-02,9.60
1989-03,68.00
1989-04,60.00
1989-05,38.60
1989-06,105.70
1989-07,123.00
1989-08,98.70
1989-09,91.30
1989-10,49.20
1989-11,30.00
1989-12,2.80
1990-01,13.50
1990-02,31.50
1990-03,0.90
1990-04,133.50
1990-05,75.50
1990-06,110.60
1990-07,131.20
1990-08,45.80
1990-09,26.80
1990-10,3.10
1990-11,10.10
1990-12,17.40
1991-01,4.30
1991-02,12.70
1991-03,11.10
1991-04,24.50
1991-05,91.20
1991-06,137.50
1991-07,239.20
1991-08,44.50
1991-09,71.90
1991-10,48.40
1991-11,10.50
1991-12,6.20
1992-01,0.60
1992-02,27.00
1992-03,12.50
1992-04,87.50
1992-05,49.90
1992-06,147.70
1992-07,77.60
1992-08,42.90
1992-09,63.60
1992-10,73.60
1992-11,9.20
1992-12,4.40
1993-01,4.60
1993-02,39.40
1993-03,4.00
1993-04,188.80
1993-05,141.20
1993-06,75.00
1993-07,112.20
1993-08,61.00
1993-09,9.60
1993-10,3.70
1993-11,2.40
1993-12,28.00
1994-01,14.40
1994-02,0.40
1994-03,3.20
1994-04,33.20
1994-05,38.40
1994-06,230.00
1994-07,68.60
1994-08,30.00
1994-09,38.00
1994-10,13.20
1994-11,8.00
1994-12,3.00
1995-01,4.50
1995-02,7.40
1995-03,6.80
1995-04,17.20
1995-05,67.40
1995-06,102.80
1995-07,102.40
1995-08,71.80
1995-09,20.30
1995-10,86.20
1995-11,22.80
1995-12,34.20
1996-01,2.40
1996-02,35.00
1996-03,24.00
1996-04,32.00
1996-05,47.20
1996-06,95.40
1996-07,115.40
1996-08,103.40
1996-09,80.40
1996-10,65.60
1996-11,34.00
1996-12,21.20
1997-01,6.90
1997-02,8.00
1997-03,2.00
1997-04,38.20
1997-05,74.00
1997-06,109.10
1997-07,12.70
1997-08,73.80
1997-09,6.40
1997-10,16.40
1997-11,46.20
1997-12,11.60
1998-01,9.00
1998-02,0.00
1998-03,11.60
1998-04,35.00
1998-05,110.80
1998-06,47.60
1998-07,99.40
1998-08,44.20
1998-09,28.60
1998-10,13.60
1998-11,43.80
1998-12,46.40
1999-01,1.20
1999-02,0.80
1999-03,0.00
1999-04,52.00
1999-05,31.80
1999-06,73.40
1999-07,39.60
1999-08,95.90
1999-09,96.00
1999-10,1.00
1999-11,14.20
1999-12,3.00
2000-01,11.00
2000-02,0.00
2000-03,10.40
2000-04,9.60
2000-05,59.00
2000-06,86.00
2000-07,25.60
	
