
Station ID, Name, Latitude, Longitude, Altitude
68816, CAPE TOWN INTNL. AIRPORT, -33.98, 18.6, 42.0
params, 
Observed tmax (monthly_means)
date (YYYY-MM), tmax
1979-01,26.65
1979-02,26.93
1979-03,24.00
1979-04,23.43
1979-05,20.84
1979-06,19.00
1979-07,17.74
1979-08,18.35
1979-09,18.67
1979-10,19.58
1979-11,24.47
1979-12,26.06
1980-01,26.32
1980-02,25.48
1980-03,26.55
1980-04,22.30
1980-05,19.39
1980-06,18.53
1980-07,19.90
1980-08,19.68
1980-09,19.63
1980-10,21.90
1980-11,22.47
1980-12,24.52
1981-01,25.14
1981-02,27.14
1981-03,25.68
1981-04,23.27
1981-05,21.94
1981-06,17.53
1981-07,16.42
1981-08,17.13
1981-09,18.97
1981-10,23.26
1981-11,23.53
1981-12,25.52
1982-01,25.39
1982-02,26.23
1982-03,24.49
1982-04,21.33
1982-05,20.17
1982-06,17.79
1982-07,17.07
1982-08,17.69
1982-09,20.71
1982-10,22.34
1982-11,22.20
1982-12,23.42
1983-01,25.80
1983-02,24.74
1983-03,24.50
1983-04,24.63
1983-05,19.40
1983-06,17.31
1983-07,17.62
1983-08,18.84
1983-09,17.74
1983-10,21.71
1983-11,22.65
1983-12,24.76
1984-01,26.98
1984-02,26.82
1984-03,26.44
1984-04,24.27
1984-05,19.56
1984-06,19.57
1984-07,18.55
1984-08,18.41
1984-09,19.25
1984-10,20.55
1984-11,24.21
1984-12,23.40
1985-01,26.31
1985-02,26.49
1985-03,24.10
1985-04,22.46
1985-05,20.91
1985-06,19.22
1985-07,17.37
1985-08,19.24
1985-09,19.67
1985-10,21.63
1985-11,26.13
1985-12,25.20
1986-01,26.42
1986-02,26.68
1986-03,24.30
1986-04,23.15
1986-05,21.18
1986-06,18.73
1986-07,17.26
1986-08,18.61
1986-09,20.27
1986-10,21.50
1986-11,22.78
1986-12,25.44
1987-01,24.56
1987-02,24.95
1987-03,25.00
1987-04,22.91
1987-05,21.41
1987-06,19.34
1987-07,18.35
1987-08,19.06
1987-09,18.99
1987-10,21.47
1987-11,22.22
1987-12,23.83
1988-01,24.98
1988-02,27.08
1988-03,25.14
1988-04,22.03
1988-05,21.62
1988-06,18.57
1988-07,17.03
1988-08,18.88
1988-09,19.38
1988-10,20.32
1988-11,24.07
1988-12,25.85
1989-01,27.02
1989-02,27.20
1989-03,24.41
1989-04,23.10
1989-05,20.12
1989-06,17.98
1989-07,17.46
1989-08,18.43
1989-09,18.79
1989-10,19.69
1989-11,23.32
1989-12,24.31
1990-01,25.69
1990-02,26.65
1990-03,25.64
1990-04,21.99
1990-05,20.55
1990-06,16.44
1990-07,16.13
1990-08,17.53
1990-09,19.62
1990-10,20.92
1990-11,22.70
1990-12,25.23
1991-01,24.93
1991-02,24.96
1991-03,26.68
1991-04,23.69
1991-05,22.20
1991-06,18.34
1991-07,17.05
1991-08,16.56
1991-09,18.55
1991-10,20.49
1991-11,22.03
1991-12,24.40
1992-01,25.64
1992-02,26.33
1992-03,25.48
1992-04,21.97
1992-05,18.93
1992-06,17.68
1992-07,16.47
1992-08,17.85
1992-09,17.88
1992-10,20.68
1992-11,23.51
1992-12,24.34
1993-01,26.67
1993-02,26.33
1993-03,26.22
1993-04,21.61
1993-05,18.57
1993-06,17.71
1993-07,18.19
1993-08,18.62
1993-09,19.68
1993-10,22.16
1993-11,24.65
1993-12,25.60
1994-01,27.07
1994-02,28.01
1994-03,25.83
1994-04,24.32
1994-05,19.30
1994-06,17.16
1994-07,17.53
1994-08,18.15
1994-09,19.63
1994-10,22.55
1994-11,23.44
1994-12,26.20
1995-01,26.82
1995-02,27.73
1995-03,26.95
1995-04,22.40
1995-05,20.87
1995-06,18.19
1995-07,15.66
1995-08,17.76
1995-09,19.40
1995-10,20.50
1995-11,23.69
1995-12,26.37
1996-01,27.41
1996-02,26.93
1996-03,24.72
1996-04,24.60
1996-05,21.30
1996-06,18.46
1996-07,16.73
1996-08,17.20
1996-09,17.33
1996-10,20.02
1996-11,20.69
1996-12,24.21
1997-01,26.38
1997-02,25.95
1997-03,25.09
1997-04,22.39
1997-05,21.44
1997-06,16.62
1997-07,18.75
1997-08,17.46
1997-09,21.21
1997-10,23.65
1997-11,22.71
1997-12,25.26
1998-01,25.69
1998-02,28.58
1998-03,25.09
1998-04,23.01
1998-05,20.18
1998-06,17.74
1998-07,17.08
1998-08,18.99
1998-09,19.07
1998-10,22.09
1998-11,23.07
1998-12,25.89
1999-01,26.25
1999-02,27.32
1999-03,27.70
1999-04,24.13
1999-05,20.73
1999-06,20.21
1999-07,18.12
1999-08,19.39
1999-09,18.17
1999-10,23.09
1999-11,23.70
1999-12,28.53
2000-01,28.13
2000-02,26.98
2000-03,25.81
2000-04,24.13
2000-05,21.15
2000-06,20.32
2000-07,17.91
	
