
Station ID, Name, Latitude, Longitude, Altitude
68816, CAPE TOWN INTNL. AIRPORT, -33.98, 18.6, 42.0
params, 
Observed tmin (monthly_means)
date (YYYY-MM), tmin
1979-01,16.03
1979-02,16.04
1979-03,13.77
1979-04,13.67
1979-05,10.29
1979-06,8.00
1979-07,6.77
1979-08,8.84
1979-09,8.47
1979-10,10.90
1979-11,14.20
1979-12,16.94
1980-01,16.97
1980-02,15.83
1980-03,15.10
1980-04,12.50
1980-05,8.87
1980-06,8.07
1980-07,6.23
1980-08,7.90
1980-09,9.00
1980-10,10.52
1980-11,12.77
1980-12,15.68
1981-01,15.41
1981-02,15.71
1981-03,14.58
1981-04,11.47
1981-05,8.84
1981-06,5.47
1981-07,5.74
1981-08,6.55
1981-09,8.03
1981-10,10.42
1981-11,12.70
1981-12,15.57
1982-01,15.61
1982-02,15.95
1982-03,14.83
1982-04,12.29
1982-05,9.50
1982-06,6.68
1982-07,6.98
1982-08,7.15
1982-09,9.83
1982-10,11.42
1982-11,12.46
1982-12,12.69
1983-01,14.95
1983-02,13.85
1983-03,13.51
1983-04,13.27
1983-05,9.62
1983-06,8.22
1983-07,7.24
1983-08,6.17
1983-09,8.86
1983-10,11.26
1983-11,13.68
1983-12,15.49
1984-01,15.34
1984-02,15.51
1984-03,14.20
1984-04,11.17
1984-05,9.78
1984-06,7.83
1984-07,7.55
1984-08,7.75
1984-09,9.55
1984-10,10.91
1984-11,13.67
1984-12,14.64
1985-01,16.16
1985-02,16.34
1985-03,13.43
1985-04,11.35
1985-05,9.42
1985-06,8.18
1985-07,6.38
1985-08,7.77
1985-09,8.86
1985-10,11.93
1985-11,14.67
1985-12,14.95
1986-01,16.20
1986-02,15.38
1986-03,13.37
1986-04,12.25
1986-05,10.24
1986-06,8.05
1986-07,7.84
1986-08,9.78
1986-09,9.77
1986-10,10.85
1986-11,13.21
1986-12,16.41
1987-01,15.31
1987-02,16.12
1987-03,15.14
1987-04,11.56
1987-05,11.15
1987-06,8.15
1987-07,7.64
1987-08,7.93
1987-09,9.54
1987-10,11.01
1987-11,12.40
1987-12,14.47
1988-01,15.62
1988-02,17.00
1988-03,14.84
1988-04,12.01
1988-05,10.35
1988-06,6.24
1988-07,7.57
1988-08,8.42
1988-09,7.84
1988-10,9.67
1988-11,13.18
1988-12,15.04
1989-01,16.30
1989-02,16.02
1989-03,14.89
1989-04,11.82
1989-05,8.53
1989-06,7.84
1989-07,6.27
1989-08,8.31
1989-09,8.96
1989-10,10.03
1989-11,14.18
1989-12,14.61
1990-01,16.05
1990-02,16.49
1990-03,14.17
1990-04,13.03
1990-05,9.32
1990-06,7.25
1990-07,8.27
1990-08,7.67
1990-09,8.39
1990-10,11.14
1990-11,11.91
1990-12,14.82
1991-01,15.82
1991-02,15.17
1991-03,14.77
1991-04,12.13
1991-05,10.33
1991-06,7.62
1991-07,7.84
1991-08,6.49
1991-09,9.77
1991-10,12.98
1991-11,13.50
1991-12,14.95
1992-01,16.88
1992-02,16.29
1992-03,15.54
1992-04,11.11
1992-05,9.34
1992-06,7.48
1992-07,8.24
1992-08,6.79
1992-09,9.10
1992-10,11.33
1992-11,12.40
1992-12,14.63
1993-01,16.81
1993-02,14.32
1993-03,15.51
1993-04,12.59
1993-05,10.92
1993-06,8.34
1993-07,9.33
1993-08,8.31
1993-09,10.13
1993-10,11.18
1993-11,13.39
1993-12,15.09
1994-01,15.49
1994-02,15.38
1994-03,15.45
1994-04,12.85
1994-05,9.12
1994-06,8.31
1994-07,6.87
1994-08,6.96
1994-09,10.16
1994-10,11.10
1994-11,12.49
1994-12,14.55
1995-01,15.98
1995-02,16.29
1995-03,14.58
1995-04,10.60
1995-05,10.42
1995-06,7.73
1995-07,6.92
1995-08,7.74
1995-09,9.92
1995-10,9.95
1995-11,13.65
1995-12,15.72
1996-01,16.33
1996-02,15.41
1996-03,13.15
1996-04,12.06
1996-05,9.13
1996-06,7.93
1996-07,6.05
1996-08,6.82
1996-09,9.34
1996-10,10.67
1996-11,11.89
1996-12,14.79
1997-01,15.76
1997-02,16.07
1997-03,14.08
1997-04,11.39
1997-05,9.28
1997-06,7.65
1997-07,6.91
1997-08,9.37
1997-09,9.82
1997-10,11.36
1997-11,12.44
1997-12,14.76
1998-01,15.76
1998-02,17.46
1998-03,14.90
1998-04,12.82
1998-05,10.11
1998-06,8.93
1998-07,7.03
1998-08,7.41
1998-09,8.55
1998-10,10.64
1998-11,12.81
1998-12,15.63
1999-01,16.70
1999-02,16.33
1999-03,15.52
1999-04,12.37
1999-05,11.38
1999-06,8.80
1999-07,7.88
1999-08,9.12
1999-09,8.35
1999-10,13.25
1999-11,14.02
1999-12,17.55
2000-01,15.89
2000-02,16.60
2000-03,15.35
2000-04,11.83
2000-05,10.46
2000-06,9.47
2000-07,7.73
	
