month,pre
1979-01,17.3
1979-02,NA
1979-03,26.1
1979-04,9
1979-05,62.6
1979-06,65.1
1979-07,45.3
1979-08,38.2
1979-09,NA
1979-10,62.8
1979-11,2
1979-12,2.2
1980-01,14
1980-02,16.6
1980-03,1
1980-04,52
1980-05,89.1
1980-06,75.9
1980-07,29.2
1980-08,39.3
1980-09,NA
1980-10,20.1
1980-11,NA
1980-12,36.1
1981-01,NA
1981-02,0.2
1981-03,42.2
1981-04,NA
1981-05,14.2
1981-06,56.2
1981-07,NA
1981-08,98.5
1981-09,NA
1981-10,NA
1981-11,NA
1981-12,10.3
1982-01,NA
1982-02,NA
1982-03,12.3
1982-04,47.6
1982-05,NA
1982-06,NA
1982-07,158.5
1982-08,76.6
1982-09,29.8
1982-10,109.3
1982-11,28.9
1982-12,25
1983-01,11.1
1983-02,48.7
1983-03,36.1
1983-04,3.4
1983-05,91.3
1983-06,164.1
1983-07,59.6
1983-08,35.5
1983-09,35.6
1983-10,14.6
1983-11,3.6
1983-12,2.3
1984-01,14.8
1984-02,16.3
1984-03,33.7
1984-04,20.8
1984-05,135.4
1984-06,27.5
1984-07,61
1984-08,26.8
1984-09,83.7
1984-10,80.1
1984-11,2
1984-12,69.9
1985-01,21.5
1985-02,8.3
1985-03,79.2
1985-04,48.1
1985-05,45.4
1985-06,112
1985-07,118.3
1985-08,79.6
1985-09,31.6
1985-10,5.1
1985-11,3
1985-12,9
1986-01,11.2
1986-02,7.7
1986-03,35.2
1986-04,31.5
1986-05,52
1986-06,124.1
1986-07,106.1
1986-08,115.4
1986-09,28.9
1986-10,36.1
1986-11,20.7
1986-12,8.1
1987-01,15
1987-02,18.6
1987-03,13.3
1987-04,36.4
1987-05,101.9
1987-06,118.7
1987-07,142.6
1987-08,100.2
1987-09,47.3
1987-10,14.4
1987-11,10
1987-12,19.5
1988-01,0.8
1988-02,0
1988-03,32.5
1988-04,41.1
1988-05,56.7
1988-06,45.5
1988-07,95.8
1988-08,78.3
1988-09,41.3
1988-10,20
1988-11,7.1
1988-12,8.7
1989-01,1.1
1989-02,9.6
1989-03,68
1989-04,60
1989-05,38.6
1989-06,105.7
1989-07,123
1989-08,98.7
1989-09,91.3
1989-10,49.2
1989-11,30
1989-12,2.8
1990-01,13.5
1990-02,31.5
1990-03,0.9
1990-04,133.5
1990-05,75.5
1990-06,110.6
1990-07,131.2
1990-08,45.8
1990-09,26.8
1990-10,3.1
1990-11,10.1
1990-12,17.4
1991-01,4.3
1991-02,12.7
1991-03,11.1
1991-04,24.5
1991-05,91.2
1991-06,137.5
1991-07,239.2
1991-08,44.5
1991-09,71.9
1991-10,48.4
1991-11,10.5
1991-12,6.2
1992-01,0.6
1992-02,27
1992-03,12.5
1992-04,87.5
1992-05,49.9
1992-06,147.7
1992-07,77.6
1992-08,42.9
1992-09,63.6
1992-10,73.6
1992-11,9.2
1992-12,4.4
1993-01,4.6
1993-02,39.4
1993-03,4
1993-04,188.8
1993-05,141.2
1993-06,75
1993-07,112.2
1993-08,61
1993-09,9.6
1993-10,3.7
1993-11,2.4
1993-12,28
1994-01,14.4
1994-02,0.4
1994-03,3.2
1994-04,33.2
1994-05,38.4
1994-06,230
1994-07,68.6
1994-08,30
1994-09,38
1994-10,13.2
1994-11,8
1994-12,3
1995-01,4.5
1995-02,7.4
1995-03,6.8
1995-04,17.2
1995-05,67.4
1995-06,102.8
1995-07,102.4
1995-08,71.8
1995-09,20.3
1995-10,86.2
1995-11,22.8
1995-12,34.2
1996-01,2.4
1996-02,35
1996-03,24
1996-04,32
1996-05,47.2
1996-06,95.4
1996-07,115.4
1996-08,103.4
1996-09,80.4
1996-10,65.6
1996-11,34
1996-12,21.2
1997-01,6.9
1997-02,8
1997-03,2
1997-04,38.2
1997-05,74
1997-06,109.1
1997-07,12.7
1997-08,73.8
1997-09,6.4
1997-10,16.4
1997-11,46.2
1997-12,11.6
1998-01,9
1998-02,0
1998-03,11.6
1998-04,35
1998-05,110.8
1998-06,47.6
1998-07,99.4
1998-08,44.2
1998-09,28.6
1998-10,13.6
1998-11,43.8
1998-12,46.4
1999-01,1.2
1999-02,0.8
1999-03,0
1999-04,52
1999-05,31.8
1999-06,73.4
1999-07,39.6
1999-08,95.9
1999-09,96
1999-10,1
1999-11,14.2
1999-12,3
2000-01,11
2000-02,0
2000-03,10.4
2000-04,9.6
2000-05,59
2000-06,86
2000-07,25.6
"	",
