date,tmx
1979-01,27.32
1979-02,29.25
1979-03,27.68
1979-04,26.83
1979-05,25.19
1979-06,23.7
1979-07,21.68
1979-08,21.97
1979-09,22.73
1979-10,24.39
1979-11,24.93
1979-12,26.13
1980-01,27.1
1980-02,28.48
1980-03,28.06
1980-04,27.2
1980-05,24.81
1980-06,23.17
1980-07,22.55
1980-08,22.87
1980-09,22.03
1980-10,23.81
1980-11,25.9
1980-12,27.65
1981-01,27.9
1981-02,27.71
1981-03,27.65
1981-04,27.27
1981-05,24.13
1981-06,22.63
1981-07,22.45
1981-08,21.23
1981-09,21.7
1981-10,23.39
1981-11,25.23
1981-12,26.77
1982-01,27.1
1982-02,28
1982-03,27.25
1982-04,25.07
1982-05,24.9
1982-06,22.53
1982-07,23.42
1982-08,23.02
1982-09,23.89
1982-10,23.84
1982-11,24.76
1982-12,27.04
1983-01,28.06
1983-02,28.16
1983-03,27.49
1983-04,27.65
1983-05,25.28
1983-06,23.36
1983-07,23
1983-08,22.34
1983-09,23.91
1983-10,24.04
1983-11,24.8
1983-12,27.55
1984-01,27.56
1984-02,27.26
1984-03,26.55
1984-04,26.12
1984-05,24.93
1984-06,22.49
1984-07,22.42
1984-08,22.58
1984-09,23.82
1984-10,24.15
1984-11,25.17
1984-12,27.07
1985-01,28.21
1985-02,28.02
1985-03,27.84
1985-04,27.05
1985-05,24.85
1985-06,23.11
1985-07,22.58
1985-08,23.9
1985-09,24.01
1985-10,25.47
1985-11,26.4
1985-12,26.85
1986-01,27.9
1986-02,28.23
1986-03,28.26
1986-04,26.11
1986-05,25.38
1986-06,23.49
1986-07,22.88
1986-08,22.99
1986-09,24.46
1986-10,23.77
1986-11,24.3
1986-12,27.11
1987-01,27.51
1987-02,29.42
1987-03,27.91
1987-04,26.81
1987-05,26.32
1987-06,22.67
1987-07,21.83
1987-08,22.06
1987-09,22.46
1987-10,22.73
1987-11,24.84
1987-12,27.31
1988-01,27.86
1988-02,28.37
1988-03,28.18
1988-04,25.85
1988-05,25.22
1988-06,22.39
1988-07,23.02
1988-08,24.17
1988-09,22.91
1988-10,23.93
1988-11,24.73
1988-12,25.55
1989-01,27.34
1989-02,26.96
1989-03,28.41
1989-04,26.12
1989-05,24.16
1989-06,22.51
1989-07,22.25
1989-08,24.56
1989-09,23.55
1989-10,23.18
1989-11,24.94
1989-12,27.45
1990-01,28.03
1990-02,27.46
1990-03,26.43
1990-04,26.28
1990-05,24.54
1990-06,23.3
1990-07,23.07
1990-08,22.07
1990-09,22.37
1990-10,23.33
1990-11,25.1
1990-12,25.88
1991-01,28.66
1991-02,28.26
1991-03,27.39
1991-04,27.91
1991-05,25.72
1991-06,22.33
1991-07,22.6
1991-08,22.25
1991-09,23.81
1991-10,23.97
1991-11,26.23
1991-12,27.36
1992-01,27.56
1992-02,29.6
1992-03,28.46
1992-04,27.86
1992-05,27.2
1992-06,25.1
1992-07,24.67
1992-08,23.85
1992-09,23.71
1992-10,24.75
1992-11,26.19
1992-12,27.03
1993-01,28.37
1993-02,28.39
1993-03,28.82
1993-04,27.26
1993-05,25.42
1993-06,24.37
1993-07,24.52
1993-08,23.72
1993-09,23.96
1993-10,23.74
1993-11,25.45
1993-12,26.6
1994-01,27.74
1994-02,28.68
1994-03,27.93
1994-04,26.4
1994-05,25.21
1994-06,24.31
1994-07,22.88
1994-08,22.08
1994-09,23.52
1994-10,22.9
1994-11,25.09
1994-12,27.2
1995-01,27.57
1995-02,29.02
1995-03,26.99
1995-04,24.13
1995-05,23.88
1995-06,22.15
1995-07,21.69
1995-08,23.71
1995-09,23.76
1995-10,23.8
1995-11,24.98
1995-12,24.85
1996-01,27.14
1996-02,27.93
1996-03,26.3
1996-04,25.04
1996-05,24.81
1996-06,23.93
1996-07,20.63
1996-08,21.92
1996-09,23.26
1996-10,23.52
1996-11,25.68
1996-12,27.54
1997-01,27.84
1997-02,27.56
1997-03,27.04
1997-04,24.83
1997-05,23.21
1997-06,22.55
1997-07,21.59
1997-08,23.6
1997-09,22.98
1997-10,24.24
1997-11,23.35
1997-12,25.65
1998-01,27.48
1998-02,28.19
1998-03,27.2
1998-04,26.29
1998-05,24.38
1998-06,22.5
1998-07,23.26
1998-08,22.96
1998-09,23.22
1998-10,24.14
1998-11,26
1998-12,26.31
1999-01,28.93
1999-02,28.49
1999-03,29.05
1999-04,27.57
1999-05,24.72
1999-06,24.19
1999-07,23.41
1999-08,24.16
1999-09,23.99
1999-10,24.13
1999-11,26.16
1999-12,27.49
2000-01,27.07
2000-02,28.55
2000-03,28.08
2000-04,25.23
2000-05,23.35
2000-06,23.73
2000-07,22.83
"	",
