
Station ID, Name, Latitude, Longitude, Altitude
68828, GEORGE AIRPORT, -34.0, 22.38, 190.0
params, 
Observed ppt (monthly_totals)
date (YYYY-MM), ppt
1979-01,51.90
1979-02,NA
1979-03,66.90
1979-04,19.60
1979-05,55.60
1979-06,37.60
1979-07,84.20
1979-08,64.30
1979-09,53.60
1979-10,30.20
1979-11,20.20
1979-12,49.00
1980-01,71.90
1980-02,NA
1980-03,13.60
1980-04,56.50
1980-05,16.40
1980-06,49.10
1980-07,21.20
1980-08,37.60
1980-09,60.10
1980-10,86.40
1980-11,NA
1980-12,117.40
1981-01,NA
1981-02,52.40
1981-03,NA
1981-04,143.80
1981-05,173.20
1981-06,34.40
1981-07,29.60
1981-08,NA
1981-09,NA
1981-10,75.80
1981-11,29.30
1981-12,60.60
1982-01,84.00
1982-02,78.00
1982-03,67.20
1982-04,135.30
1982-05,NA
1982-06,NA
1982-07,57.00
1982-08,3.40
1982-09,135.10
1982-10,68.30
1982-11,27.40
1982-12,41.30
1983-01,21.50
1983-02,32.30
1983-03,23.50
1983-04,NA
1983-05,48.90
1983-06,92.90
1983-07,89.30
1983-08,9.50
1983-09,67.30
1983-10,110.00
1983-11,51.60
1983-12,64.30
1984-01,44.40
1984-02,30.10
1984-03,65.90
1984-04,30.70
1984-05,22.30
1984-06,28.20
1984-07,107.80
1984-08,14.10
1984-09,50.80
1984-10,71.60
1984-11,37.20
1984-12,54.20
1985-01,NA
1985-02,64.10
1985-03,40.20
1985-04,65.50
1985-05,20.90
1985-06,35.40
1985-07,61.80
1985-08,17.50
1985-09,14.00
1985-10,132.10
1985-11,97.60
1985-12,118.30
1986-01,21.60
1986-02,41.60
1986-03,34.70
1986-04,18.60
1986-05,4.00
1986-06,22.40
1986-07,36.50
1986-08,135.60
1986-09,28.60
1986-10,124.70
1986-11,30.70
1986-12,35.20
1987-01,46.30
1987-02,41.50
1987-03,32.20
1987-04,121.30
1987-05,1.60
1987-06,44.90
1987-07,18.20
1987-08,46.00
1987-09,149.80
1987-10,27.10
1987-11,11.40
1987-12,68.20
1988-01,30.70
1988-02,38.10
1988-03,30.60
1988-04,59.60
1988-05,45.00
1988-06,52.40
1988-07,23.00
1988-08,98.00
1988-09,65.80
1988-10,32.10
1988-11,44.20
1988-12,49.20
1989-01,27.70
1989-02,30.20
1989-03,54.80
1989-04,98.00
1989-05,15.60
1989-06,32.20
1989-07,18.40
1989-08,31.20
1989-09,20.30
1989-10,176.50
1989-11,137.20
1989-12,33.20
1990-01,14.70
1990-02,75.30
1990-03,88.50
1990-04,81.30
1990-05,65.30
1990-06,75.00
1990-07,8.50
1990-08,39.30
1990-09,32.90
1990-10,50.90
1990-11,41.50
1990-12,38.20
1991-01,40.50
1991-02,50.50
1991-03,30.60
1991-04,21.80
1991-05,23.30
1991-06,32.90
1991-07,31.80
1991-08,36.40
1991-09,21.60
1991-10,169.50
1991-11,15.80
1991-12,89.70
1992-01,73.70
1992-02,107.30
1992-03,72.40
1992-04,41.10
1992-05,27.40
1992-06,47.20
1992-07,99.90
1992-08,40.10
1992-09,25.20
1992-10,230.10
1992-11,89.80
1992-12,26.20
1993-01,80.60
1993-02,62.70
1993-03,29.20
1993-04,125.80
1993-05,46.10
1993-06,27.60
1993-07,24.90
1993-08,30.30
1993-09,211.00
1993-10,65.70
1993-11,46.00
1993-12,111.20
1994-01,62.20
1994-02,87.40
1994-03,98.00
1994-04,65.40
1994-05,14.30
1994-06,38.10
1994-07,43.50
1994-08,136.00
1994-09,45.60
1994-10,79.30
1994-11,15.00
1994-12,143.70
1995-01,48.50
1995-02,31.50
1995-03,109.20
1995-04,112.70
1995-05,70.40
1995-06,43.00
1995-07,16.90
1995-08,24.50
1995-09,42.70
1995-10,31.60
1995-11,173.30
1995-12,118.90
1996-01,55.80
1996-02,40.80
1996-03,37.70
1996-04,19.40
1996-05,10.40
1996-06,10.40
1996-07,46.30
1996-08,29.70
1996-09,35.50
1996-10,190.00
1996-11,256.50
1996-12,52.00
1997-01,16.30
1997-02,46.50
1997-03,91.20
1997-04,51.50
1997-05,123.70
1997-06,51.30
1997-07,39.90
1997-08,84.00
1997-09,22.00
1997-10,123.20
1997-11,28.90
1997-12,33.10
1998-01,78.50
1998-02,53.70
1998-03,97.90
1998-04,13.60
1998-05,33.90
1998-06,8.20
1998-07,49.80
1998-08,40.20
1998-09,24.90
1998-10,30.00
1998-11,56.80
1998-12,59.20
1999-01,77.00
1999-02,64.50
1999-03,92.60
1999-04,65.30
1999-05,7.40
1999-06,7.20
1999-07,48.80
1999-08,38.70
1999-09,50.90
1999-10,111.60
1999-11,16.10
1999-12,32.60
2000-01,89.30
2000-02,42.30
2000-03,159.60
2000-04,9.20
2000-05,20.20
2000-06,11.20
2000-07,13.90
	
