
Station ID, Name, Latitude, Longitude, Altitude
68828, GEORGE AIRPORT, -34.0, 22.38, 190.0
params, 
Observed tmin (monthly_means)
date (YYYY-MM), tmin
1979-01,14.52
1979-02,16.11
1979-03,14.23
1979-04,12.70
1979-05,10.65
1979-06,8.20
1979-07,7.94
1979-08,7.58
1979-09,8.13
1979-10,10.39
1979-11,13.00
1979-12,14.87
1980-01,15.74
1980-02,15.59
1980-03,15.26
1980-04,12.90
1980-05,9.23
1980-06,8.50
1980-07,7.97
1980-08,8.45
1980-09,8.43
1980-10,10.23
1980-11,11.87
1980-12,14.16
1981-01,14.72
1981-02,15.93
1981-03,13.42
1981-04,12.87
1981-05,11.42
1981-06,7.40
1981-07,6.16
1981-08,7.35
1981-09,9.27
1981-10,10.55
1981-11,12.83
1981-12,14.59
1982-01,15.38
1982-02,NA
1982-03,16.93
1982-04,13.86
1982-05,10.46
1982-06,9.30
1982-07,8.66
1982-08,8.41
1982-09,11.06
1982-10,11.25
1982-11,12.39
1982-12,12.98
1983-01,15.57
1983-02,15.04
1983-03,14.59
1983-04,13.49
1983-05,10.11
1983-06,8.53
1983-07,8.21
1983-08,7.26
1983-09,8.99
1983-10,11.42
1983-11,14.38
1983-12,15.68
1984-01,16.20
1984-02,16.40
1984-03,14.37
1984-04,12.08
1984-05,10.39
1984-06,9.09
1984-07,8.45
1984-08,8.12
1984-09,9.20
1984-10,10.87
1984-11,13.32
1984-12,14.01
1985-01,NA
1985-02,16.16
1985-03,14.23
1985-04,13.47
1985-05,10.18
1985-06,8.72
1985-07,7.89
1985-08,8.72
1985-09,9.59
1985-10,12.66
1985-11,15.03
1985-12,14.91
1986-01,15.69
1986-02,15.30
1986-03,13.96
1986-04,13.10
1986-05,11.25
1986-06,9.86
1986-07,7.46
1986-08,9.35
1986-09,10.36
1986-10,11.77
1986-11,12.52
1986-12,15.03
1987-01,14.84
1987-02,16.60
1987-03,16.12
1987-04,13.20
1987-05,11.86
1987-06,9.19
1987-07,8.79
1987-08,8.68
1987-09,9.85
1987-10,11.85
1987-11,12.72
1987-12,14.79
1988-01,15.84
1988-02,16.53
1988-03,14.95
1988-04,11.89
1988-05,11.53
1988-06,8.37
1988-07,8.05
1988-08,9.10
1988-09,9.24
1988-10,10.52
1988-11,12.86
1988-12,14.15
1989-01,16.56
1989-02,16.04
1989-03,15.09
1989-04,13.11
1989-05,9.54
1989-06,8.66
1989-07,6.53
1989-08,7.65
1989-09,8.61
1989-10,10.01
1989-11,13.00
1989-12,15.52
1990-01,16.01
1990-02,16.22
1990-03,14.38
1990-04,12.53
1990-05,10.24
1990-06,7.35
1990-07,7.65
1990-08,8.18
1990-09,9.66
1990-10,10.12
1990-11,11.70
1990-12,14.55
1991-01,15.28
1991-02,16.56
1991-03,15.09
1991-04,13.62
1991-05,11.95
1991-06,8.34
1991-07,8.25
1991-08,6.96
1991-09,9.12
1991-10,12.37
1991-11,13.19
1991-12,14.99
1992-01,16.27
1992-02,16.72
1992-03,14.93
1992-04,12.16
1992-05,10.11
1992-06,8.56
1992-07,7.58
1992-08,7.54
1992-09,8.75
1992-10,10.75
1992-11,12.36
1992-12,14.15
1993-01,15.40
1993-02,14.92
1993-03,15.07
1993-04,11.53
1993-05,10.01
1993-06,8.01
1993-07,8.78
1993-08,7.73
1993-09,9.31
1993-10,11.15
1993-11,12.89
1993-12,14.15
1994-01,15.37
1994-02,15.02
1994-03,14.94
1994-04,13.32
1994-05,9.37
1994-06,8.00
1994-07,6.17
1994-08,7.71
1994-09,9.51
1994-10,10.74
1994-11,13.23
1994-12,13.73
1995-01,16.12
1995-02,16.73
1995-03,14.61
1995-04,10.62
1995-05,11.64
1995-06,8.53
1995-07,6.26
1995-08,8.52
1995-09,9.97
1995-10,10.66
1995-11,13.10
1995-12,15.24
1996-01,16.73
1996-02,16.23
1996-03,12.87
1996-04,11.96
1996-05,10.64
1996-06,8.17
1996-07,7.16
1996-08,7.13
1996-09,8.77
1996-10,10.69
1996-11,11.83
1996-12,14.95
1997-01,15.55
1997-02,15.22
1997-03,15.16
1997-04,12.07
1997-05,9.98
1997-06,8.51
1997-07,8.26
1997-08,9.28
1997-09,10.28
1997-10,12.05
1997-11,12.31
1997-12,13.88
1998-01,14.30
1998-02,16.65
1998-03,14.72
1998-04,12.88
1998-05,10.53
1998-06,7.27
1998-07,7.48
1998-08,8.56
1998-09,8.98
1998-10,11.33
1998-11,12.89
1998-12,14.98
1999-01,16.33
1999-02,16.59
1999-03,16.50
1999-04,13.51
1999-05,11.09
1999-06,9.38
1999-07,8.58
1999-08,9.34
1999-09,8.34
1999-10,12.82
1999-11,13.11
1999-12,17.38
2000-01,15.19
2000-02,16.83
2000-03,15.43
2000-04,12.34
2000-05,9.08
2000-06,8.71
2000-07,7.64
	
