month,tmx
1979-01,28
1979-02,30.08
1979-03,26.86
1979-04,26.9
1979-05,22.77
1979-06,19.88
1979-07,18.08
1979-08,18.72
1979-09,19.36
1979-10,22.86
1979-11,26.48
1979-12,28.33
1980-01,27.78
1980-02,27.54
1980-03,27.57
1980-04,26.18
1980-05,23.6
1980-06,20.52
1980-07,21.85
1980-08,21.48
1980-09,20.45
1980-10,23.45
1980-11,23.89
1980-12,27.42
1981-01,27.12
1981-02,26.56
1981-03,26.19
1981-04,23.33
1981-05,22.41
1981-06,18.25
1981-07,19.2
1981-08,19.61
1981-09,21.23
1981-10,24.45
1981-11,25.17
1981-12,26.55
1982-01,27.11
1982-02,NA
1982-03,NA
1982-04,NA
1982-05,20.29
1982-06,18.35
1982-07,16.28
1982-08,18.28
1982-09,20.94
1982-10,23.73
1982-11,24.12
1982-12,27.67
1983-01,29.28
1983-02,27.91
1983-03,26.7
1983-04,NA
1983-05,21.56
1983-06,17.94
1983-07,17.75
1983-08,20.69
1983-09,20.13
1983-10,22.8
1983-11,22.78
1983-12,26.86
1984-01,27.96
1984-02,27.48
1984-03,27.77
1984-04,NA
1984-05,21.51
1984-06,20.8
1984-07,19.42
1984-08,20.26
1984-09,22.23
1984-10,21.41
1984-11,25.26
1984-12,NA
1985-01,27.42
1985-02,26.78
1985-03,25.11
1985-04,26.1
1985-05,21.63
1985-06,20.44
1985-07,17.62
1985-08,20.38
1985-09,21.84
1985-10,24.09
1985-11,25.11
1985-12,NA
1986-01,27.98
1986-02,28.94
1986-03,NA
1986-04,NA
1986-05,24.48
1986-06,21.7
1986-07,20.11
1986-08,20.28
1986-09,21.27
1986-10,22.14
1986-11,24.85
1986-12,NA
1987-01,28.84
1987-02,28.75
1987-03,27.02
1987-04,24.53
1987-05,24.12
1987-06,20
1987-07,20.51
1987-08,21.01
1987-09,20.46
1987-10,23.24
1987-11,24.73
1987-12,NA
1988-01,28.08
1988-02,29.43
1988-03,27.14
1988-04,22.79
1988-05,23.9
1988-06,NA
1988-07,NA
1988-08,21.11
1988-09,20.91
1988-10,NA
1988-11,24.9
1988-12,26.77
1989-01,28.61
1989-02,27.54
1989-03,26.43
1989-04,24.24
1989-05,21.9
1989-06,18.94
1989-07,18.72
1989-08,19.74
1989-09,21.09
1989-10,21.3
1989-11,23.97
1989-12,NA
1990-01,28.73
1990-02,28.35
1990-03,27.07
1990-04,24.74
1990-05,20.86
1990-06,18.31
1990-07,19.41
1990-08,19.66
1990-09,21.51
1990-10,22.24
1990-11,25.25
1990-12,26.84
1991-01,27.11
1991-02,26.81
1991-03,27.66
1991-04,26.29
1991-05,24.19
1991-06,19.51
1991-07,19.72
1991-08,19.09
1991-09,22.44
1991-10,21.73
1991-11,24.69
1991-12,27.37
1992-01,27.5
1992-02,28.72
1992-03,27.25
1992-04,23.96
1992-05,21.69
1992-06,18.94
1992-07,20.17
1992-08,18.8
1992-09,20.19
1992-10,22.07
1992-11,24.98
1992-12,27.56
1993-01,28.98
1993-02,28.62
1993-03,28.64
1993-04,23.15
1993-05,20.57
1993-06,19.75
1993-07,20.93
1993-08,19.96
1993-09,22.26
1993-10,23.16
1993-11,26.68
1993-12,26.33
1994-01,28.4
1994-02,28.92
1994-03,27.08
1994-04,26.7
1994-05,22.19
1994-06,19.18
1994-07,19.94
1994-08,19.38
1994-09,22.16
1994-10,24.88
1994-11,26.63
1994-12,28.23
1995-01,28.5
1995-02,29.33
1995-03,26.48
1995-04,22.64
1995-05,22.39
1995-06,20.02
1995-07,18.11
1995-08,20.29
1995-09,22.52
1995-10,21.64
1995-11,25.59
1995-12,25.56
1996-01,27.39
1996-02,27.97
1996-03,26.28
1996-04,27.17
1996-05,24.45
1996-06,21.79
1996-07,17.81
1996-08,20.83
1996-09,21.55
1996-10,22.46
1996-11,22.26
1996-12,26.56
1997-01,28.38
1997-02,27.23
1997-03,26.99
1997-04,23.28
1997-05,23.39
1997-06,18.56
1997-07,19.5
1997-08,20.3
1997-09,22.79
1997-10,23.57
1997-11,23.43
1997-12,26.01
1998-01,26.32
1998-02,28.91
1998-03,25.97
1998-04,24.78
1998-05,22.1
1998-06,19.01
1998-07,19.02
1998-08,19.67
1998-09,21.55
1998-10,24.43
1998-11,25.13
1998-12,26.48
1999-01,29.28
1999-02,27.65
1999-03,28.03
1999-04,25.06
1999-05,22.34
1999-06,22.51
1999-07,20.86
1999-08,22.59
1999-09,21.27
1999-10,23.94
1999-11,26.56
1999-12,30.39
2000-01,28.62
2000-02,28.05
2000-03,24.78
2000-04,25.27
2000-05,23.11
2000-06,22.79
2000-07,20.19
"	",
