
Station ID, Name, Latitude, Longitude, Altitude
68926, RIVERSDALE, -34.08, 21.25, 116.0
params, 
Observed ppt (monthly_totals)
date (YYYY-MM), ppt
1979-01,20.00
1979-02,26.40
1979-03,25.00
1979-04,4.00
1979-05,38.00
1979-06,23.00
1979-07,61.00
1979-08,11.10
1979-09,10.50
1979-10,29.40
1979-11,11.10
1979-12,34.80
1980-01,36.00
1980-02,20.50
1980-03,45.40
1980-04,24.80
1980-05,10.60
1980-06,51.40
1980-07,8.30
1980-08,44.30
1980-09,26.40
1980-10,18.70
1980-11,73.60
1980-12,34.50
1981-01,138.60
1981-02,44.50
1981-03,93.50
1981-04,140.30
1981-05,63.30
1981-06,NA
1981-07,44.90
1981-08,88.70
1981-09,25.60
1981-10,30.60
1981-11,23.50
1981-12,41.00
1982-01,NA
1982-02,NA
1982-03,43.70
1982-04,160.60
1982-05,NA
1982-06,NA
1982-07,74.00
1982-08,12.50
1982-09,107.30
1982-10,31.70
1982-11,25.40
1982-12,18.00
1983-01,8.90
1983-02,28.10
1983-03,11.30
1983-04,NA
1983-05,46.60
1983-06,36.40
1983-07,36.60
1983-08,12.00
1983-09,40.80
1983-10,16.60
1983-11,22.00
1983-12,11.30
1984-01,14.80
1984-02,18.50
1984-03,66.30
1984-04,NA
1984-05,25.00
1984-06,26.50
1984-07,48.70
1984-08,4.80
1984-09,15.00
1984-10,38.40
1984-11,10.20
1984-12,NA
1985-01,NA
1985-02,60.00
1985-03,16.30
1985-04,43.00
1985-05,4.60
1985-06,42.20
1985-07,56.90
1985-08,13.50
1985-09,6.70
1985-10,94.10
1985-11,53.30
1985-12,NA
1986-01,14.20
1986-02,33.60
1986-03,NA
1986-04,NA
1986-05,10.30
1986-06,11.90
1986-07,24.70
1986-08,NA
1986-09,NA
1986-10,NA
1986-11,NA
1986-12,NA
1987-01,NA
1987-02,NA
1987-03,NA
1987-04,NA
1987-05,NA
1987-06,NA
1987-07,NA
1987-08,38.40
1987-09,62.90
1987-10,18.00
1987-11,3.00
1987-12,NA
1988-01,18.80
1988-02,6.50
1988-03,31.00
1988-04,59.50
1988-05,14.30
1988-06,41.00
1988-07,NA
1988-08,17.30
1988-09,34.00
1988-10,20.90
1988-11,29.80
1988-12,38.00
1989-01,15.50
1989-02,35.00
1989-03,100.50
1989-04,86.00
1989-05,7.50
1989-06,40.60
1989-07,22.00
1989-08,26.30
1989-09,27.60
1989-10,85.10
1989-11,80.50
1989-12,NA
1990-01,10.30
1990-02,35.60
1990-03,21.20
1990-04,79.00
1990-05,40.80
1990-06,72.00
1990-07,8.60
1990-08,24.90
1990-09,35.60
1990-10,33.70
1990-11,27.00
1990-12,33.60
1991-01,51.40
1991-02,45.90
1991-03,16.10
1991-04,17.60
1991-05,27.30
1991-06,28.90
1991-07,22.20
1991-08,22.10
1991-09,21.70
1991-10,123.00
1991-11,10.80
1991-12,40.30
1992-01,51.70
1992-02,42.70
1992-03,51.00
1992-04,23.70
1992-05,26.30
1992-06,45.30
1992-07,66.30
1992-08,27.30
1992-09,19.30
1992-10,112.00
1992-11,44.90
1992-12,8.00
1993-01,11.20
1993-02,20.10
1993-03,20.00
1993-04,103.90
1993-05,48.70
1993-06,22.00
1993-07,25.20
1993-08,29.30
1993-09,66.00
1993-10,19.50
1993-11,17.20
1993-12,61.30
1994-01,18.60
1994-02,50.20
1994-03,29.70
1994-04,40.60
1994-05,40.00
1994-06,31.40
1994-07,44.70
1994-08,70.30
1994-09,18.60
1994-10,42.40
1994-11,4.90
1994-12,99.20
1995-01,22.60
1995-02,41.10
1995-03,75.90
1995-04,75.90
1995-05,64.30
1995-06,15.60
1995-07,20.30
1995-08,32.30
1995-09,16.00
1995-10,33.70
1995-11,102.00
1995-12,72.30
1996-01,27.70
1996-02,25.90
1996-03,36.20
1996-04,14.00
1996-05,9.00
1996-06,8.60
1996-07,52.30
1996-08,6.80
1996-09,33.80
1996-10,92.70
1996-11,151.10
1996-12,35.60
1997-01,7.00
1997-02,12.10
1997-03,58.70
1997-04,61.00
1997-05,69.50
1997-06,25.90
1997-07,59.00
1997-08,37.20
1997-09,16.70
1997-10,41.20
1997-11,41.50
1997-12,17.30
1998-01,56.80
1998-02,33.60
1998-03,79.50
1998-04,21.50
1998-05,39.70
1998-06,18.00
1998-07,28.20
1998-08,34.00
1998-09,18.00
1998-10,11.80
1998-11,56.30
1998-12,69.70
1999-01,30.20
1999-02,64.30
1999-03,43.20
1999-04,36.90
1999-05,30.30
1999-06,11.00
1999-07,55.00
1999-08,19.20
1999-09,53.10
1999-10,56.40
1999-11,18.60
1999-12,23.20
2000-01,82.10
2000-02,18.50
2000-03,82.40
2000-04,10.20
2000-05,55.80
2000-06,18.90
2000-07,21.30
	
