
Station ID, Name, Latitude, Longitude, Altitude
68926, RIVERSDALE, -34.08, 21.25, 116.0
params, 
Observed tmin (monthly_means)
date (YYYY-MM), tmin
1979-01,14.97
1979-02,15.50
1979-03,14.31
1979-04,12.48
1979-05,10.20
1979-06,6.75
1979-07,6.69
1979-08,6.79
1979-09,7.04
1979-10,10.32
1979-11,13.07
1979-12,15.41
1980-01,15.70
1980-02,15.58
1980-03,15.47
1980-04,11.93
1980-05,7.83
1980-06,7.11
1980-07,5.93
1980-08,8.32
1980-09,7.62
1980-10,10.90
1980-11,11.96
1980-12,14.88
1981-01,15.71
1981-02,16.36
1981-03,13.29
1981-04,11.07
1981-05,9.76
1981-06,4.38
1981-07,3.07
1981-08,5.32
1981-09,7.80
1981-10,10.74
1981-11,13.17
1981-12,15.10
1982-01,15.46
1982-02,NA
1982-03,NA
1982-04,NA
1982-05,9.78
1982-06,NA
1982-07,NA
1982-08,6.80
1982-09,11.47
1982-10,10.87
1982-11,11.90
1982-12,12.56
1983-01,15.46
1983-02,14.49
1983-03,13.69
1983-04,NA
1983-05,7.81
1983-06,7.18
1983-07,4.55
1983-08,4.00
1983-09,6.94
1983-10,10.75
1983-11,12.73
1983-12,14.68
1984-01,14.65
1984-02,15.47
1984-03,14.68
1984-04,NA
1984-05,8.06
1984-06,5.53
1984-07,5.98
1984-08,5.30
1984-09,NA
1984-10,10.30
1984-11,12.47
1984-12,NA
1985-01,NA
1985-02,16.14
1985-03,13.68
1985-04,12.14
1985-05,6.62
1985-06,6.78
1985-07,6.27
1985-08,7.56
1985-09,8.62
1985-10,12.16
1985-11,15.36
1985-12,NA
1986-01,15.79
1986-02,15.56
1986-03,NA
1986-04,NA
1986-05,10.34
1986-06,7.79
1986-07,5.65
1986-08,8.02
1986-09,9.32
1986-10,10.99
1986-11,11.10
1986-12,NA
1987-01,14.26
1987-02,15.59
1987-03,16.87
1987-04,12.53
1987-05,10.53
1987-06,6.28
1987-07,7.12
1987-08,7.31
1987-09,9.81
1987-10,11.71
1987-11,12.97
1987-12,NA
1988-01,16.39
1988-02,17.52
1988-03,15.92
1988-04,12.04
1988-05,10.11
1988-06,5.95
1988-07,NA
1988-08,7.26
1988-09,8.87
1988-10,9.86
1988-11,13.56
1988-12,15.05
1989-01,17.07
1989-02,16.59
1989-03,16.09
1989-04,13.67
1989-05,8.91
1989-06,7.65
1989-07,4.79
1989-08,6.79
1989-09,7.96
1989-10,9.83
1989-11,13.32
1989-12,NA
1990-01,17.02
1990-02,17.01
1990-03,14.54
1990-04,12.29
1990-05,8.72
1990-06,5.15
1990-07,5.96
1990-08,5.93
1990-09,8.66
1990-10,9.94
1990-11,11.75
1990-12,15.22
1991-01,15.86
1991-02,16.12
1991-03,15.34
1991-04,13.69
1991-05,10.55
1991-06,7.13
1991-07,6.81
1991-08,5.89
1991-09,8.36
1991-10,12.46
1991-11,14.11
1991-12,15.56
1992-01,16.55
1992-02,17.42
1992-03,15.80
1992-04,12.10
1992-05,8.46
1992-06,7.31
1992-07,6.46
1992-08,7.05
1992-09,8.65
1992-10,11.43
1992-11,13.19
1992-12,15.15
1993-01,16.46
1993-02,16.00
1993-03,16.75
1993-04,12.08
1993-05,9.99
1993-06,6.71
1993-07,8.34
1993-08,6.85
1993-09,9.86
1993-10,12.31
1993-11,14.13
1993-12,15.82
1994-01,16.80
1994-02,16.73
1994-03,16.13
1994-04,13.77
1994-05,8.65
1994-06,8.44
1994-07,5.01
1994-08,7.49
1994-09,8.64
1994-10,11.06
1994-11,13.77
1994-12,14.91
1995-01,17.00
1995-02,17.94
1995-03,15.50
1995-04,10.16
1995-05,11.08
1995-06,6.60
1995-07,3.98
1995-08,6.81
1995-09,9.56
1995-10,10.80
1995-11,13.79
1995-12,16.05
1996-01,17.74
1996-02,16.69
1996-03,12.96
1996-04,11.49
1996-05,9.28
1996-06,6.76
1996-07,5.40
1996-08,5.43
1996-09,7.77
1996-10,11.14
1996-11,12.18
1996-12,15.26
1997-01,16.94
1997-02,15.64
1997-03,16.27
1997-04,12.14
1997-05,8.77
1997-06,7.01
1997-07,5.81
1997-08,8.49
1997-09,9.92
1997-10,11.91
1997-11,13.46
1997-12,15.00
1998-01,15.30
1998-02,17.96
1998-03,15.12
1998-04,12.54
1998-05,9.58
1998-06,5.77
1998-07,5.88
1998-08,6.91
1998-09,8.54
1998-10,11.67
1998-11,13.15
1998-12,16.25
1999-01,17.72
1999-02,17.91
1999-03,17.30
1999-04,13.16
1999-05,9.87
1999-06,7.72
1999-07,7.05
1999-08,7.22
1999-09,7.71
1999-10,13.42
1999-11,13.46
1999-12,18.63
2000-01,15.61
2000-02,17.23
2000-03,15.81
2000-04,11.63
2000-05,8.14
2000-06,6.33
2000-07,4.97
	
