month,pre
1979-01,20
1979-02,26.4
1979-03,25
1979-04,4
1979-05,38
1979-06,23
1979-07,61
1979-08,11.1
1979-09,10.5
1979-10,29.4
1979-11,11.1
1979-12,34.8
1980-01,36
1980-02,20.5
1980-03,45.4
1980-04,24.8
1980-05,10.6
1980-06,51.4
1980-07,8.3
1980-08,44.3
1980-09,26.4
1980-10,18.7
1980-11,73.6
1980-12,34.5
1981-01,138.6
1981-02,44.5
1981-03,93.5
1981-04,140.3
1981-05,63.3
1981-06,NA
1981-07,44.9
1981-08,88.7
1981-09,25.6
1981-10,30.6
1981-11,23.5
1981-12,41
1982-01,NA
1982-02,NA
1982-03,43.7
1982-04,160.6
1982-05,NA
1982-06,NA
1982-07,74
1982-08,12.5
1982-09,107.3
1982-10,31.7
1982-11,25.4
1982-12,18
1983-01,8.9
1983-02,28.1
1983-03,11.3
1983-04,NA
1983-05,46.6
1983-06,36.4
1983-07,36.6
1983-08,12
1983-09,40.8
1983-10,16.6
1983-11,22
1983-12,11.3
1984-01,14.8
1984-02,18.5
1984-03,66.3
1984-04,NA
1984-05,25
1984-06,26.5
1984-07,48.7
1984-08,4.8
1984-09,15
1984-10,38.4
1984-11,10.2
1984-12,NA
1985-01,NA
1985-02,60
1985-03,16.3
1985-04,43
1985-05,4.6
1985-06,42.2
1985-07,56.9
1985-08,13.5
1985-09,6.7
1985-10,94.1
1985-11,53.3
1985-12,NA
1986-01,14.2
1986-02,33.6
1986-03,NA
1986-04,NA
1986-05,10.3
1986-06,11.9
1986-07,24.7
1986-08,NA
1986-09,NA
1986-10,NA
1986-11,NA
1986-12,NA
1987-01,NA
1987-02,NA
1987-03,NA
1987-04,NA
1987-05,NA
1987-06,NA
1987-07,NA
1987-08,38.4
1987-09,62.9
1987-10,18
1987-11,3
1987-12,NA
1988-01,18.8
1988-02,6.5
1988-03,31
1988-04,59.5
1988-05,14.3
1988-06,41
1988-07,NA
1988-08,17.3
1988-09,34
1988-10,20.9
1988-11,29.8
1988-12,38
1989-01,15.5
1989-02,35
1989-03,100.5
1989-04,86
1989-05,7.5
1989-06,40.6
1989-07,22
1989-08,26.3
1989-09,27.6
1989-10,85.1
1989-11,80.5
1989-12,NA
1990-01,10.3
1990-02,35.6
1990-03,21.2
1990-04,79
1990-05,40.8
1990-06,72
1990-07,8.6
1990-08,24.9
1990-09,35.6
1990-10,33.7
1990-11,27
1990-12,33.6
1991-01,51.4
1991-02,45.9
1991-03,16.1
1991-04,17.6
1991-05,27.3
1991-06,28.9
1991-07,22.2
1991-08,22.1
1991-09,21.7
1991-10,123
1991-11,10.8
1991-12,40.3
1992-01,51.7
1992-02,42.7
1992-03,51
1992-04,23.7
1992-05,26.3
1992-06,45.3
1992-07,66.3
1992-08,27.3
1992-09,19.3
1992-10,112
1992-11,44.9
1992-12,8
1993-01,11.2
1993-02,20.1
1993-03,20
1993-04,103.9
1993-05,48.7
1993-06,22
1993-07,25.2
1993-08,29.3
1993-09,66
1993-10,19.5
1993-11,17.2
1993-12,61.3
1994-01,18.6
1994-02,50.2
1994-03,29.7
1994-04,40.6
1994-05,40
1994-06,31.4
1994-07,44.7
1994-08,70.3
1994-09,18.6
1994-10,42.4
1994-11,4.9
1994-12,99.2
1995-01,22.6
1995-02,41.1
1995-03,75.9
1995-04,75.9
1995-05,64.3
1995-06,15.6
1995-07,20.3
1995-08,32.3
1995-09,16
1995-10,33.7
1995-11,102
1995-12,72.3
1996-01,27.7
1996-02,25.9
1996-03,36.2
1996-04,14
1996-05,9
1996-06,8.6
1996-07,52.3
1996-08,6.8
1996-09,33.8
1996-10,92.7
1996-11,151.1
1996-12,35.6
1997-01,7
1997-02,12.1
1997-03,58.7
1997-04,61
1997-05,69.5
1997-06,25.9
1997-07,59
1997-08,37.2
1997-09,16.7
1997-10,41.2
1997-11,41.5
1997-12,17.3
1998-01,56.8
1998-02,33.6
1998-03,79.5
1998-04,21.5
1998-05,39.7
1998-06,18
1998-07,28.2
1998-08,34
1998-09,18
1998-10,11.8
1998-11,56.3
1998-12,69.7
1999-01,30.2
1999-02,64.3
1999-03,43.2
1999-04,36.9
1999-05,30.3
1999-06,11
1999-07,55
1999-08,19.2
1999-09,53.1
1999-10,56.4
1999-11,18.6
1999-12,23.2
2000-01,82.1
2000-02,18.5
2000-03,82.4
2000-04,10.2
2000-05,55.8
2000-06,18.9
2000-07,21.3
"	",
