month,tmn
1979-01,14.1
1979-02,16.39
1979-03,13.35
1979-04,11.44
1979-05,8.07
1979-06,5.31
1979-07,3.3
1979-08,5.94
1979-09,5.9
1979-10,9.7
1979-11,13.24
1979-12,14.52
1980-01,15.13
1980-02,15.28
1980-03,14.52
1980-04,10.04
1980-05,5.64
1980-06,7.28
1980-07,NA
1980-08,7.25
1980-09,8.73
1980-10,9.82
1980-11,12.11
1980-12,15.33
1981-01,15.44
1981-02,NA
1981-03,12.85
1981-04,11.28
1981-05,9.12
1981-06,NA
1981-07,3.88
1981-08,5
1981-09,6.82
1981-10,10
1981-11,12.88
1981-12,14.12
1982-01,NA
1982-02,NA
1982-03,NA
1982-04,NA
1982-05,7.57
1982-06,4.7
1982-07,5.41
1982-08,4.96
1982-09,11.07
1982-10,11.22
1982-11,11.48
1982-12,12.8
1983-01,NA
1983-02,NA
1983-03,NA
1983-04,NA
1983-05,8.25
1983-06,NA
1983-07,6.31
1983-08,4.8
1983-09,8.23
1983-10,11.3
1983-11,NA
1983-12,NA
1984-01,NA
1984-02,NA
1984-03,NA
1984-04,NA
1984-05,NA
1984-06,NA
1984-07,5.52
1984-08,5.33
1984-09,NA
1984-10,NA
1984-11,NA
1984-12,NA
1985-01,NA
1985-02,NA
1985-03,NA
1985-04,NA
1985-05,NA
1985-06,NA
1985-07,NA
1985-08,NA
1985-09,NA
1985-10,NA
1985-11,NA
1985-12,NA
1986-01,NA
1986-02,NA
1986-03,NA
1986-04,12.91
1986-05,NA
1986-06,NA
1986-07,NA
1986-08,NA
1986-09,NA
1986-10,NA
1986-11,12.14
1986-12,14.57
1987-01,14.38
1987-02,16.16
1987-03,15.49
1987-04,10.91
1987-05,10.19
1987-06,6.43
1987-07,5.23
1987-08,5.74
1987-09,8.73
1987-10,11.34
1987-11,12.96
1987-12,14.81
1988-01,15.59
1988-02,17.03
1988-03,14.85
1988-04,11.37
1988-05,9.65
1988-06,5.28
1988-07,6.66
1988-08,7.29
1988-09,8.22
1988-10,9.41
1988-11,12.27
1988-12,14.76
1989-01,16.75
1989-02,16.07
1989-03,15.01
1989-04,12.19
1989-05,8.34
1989-06,6.11
1989-07,4.99
1989-08,7.27
1989-09,7.72
1989-10,9.27
1989-11,13.08
1989-12,15.39
1990-01,16.23
1990-02,16
1990-03,14.32
1990-04,11.39
1990-05,7.3
1990-06,5.29
1990-07,6.91
1990-08,6.49
1990-09,8.64
1990-10,9.27
1990-11,11.76
1990-12,14.5
1991-01,15.31
1991-02,15.74
1991-03,14.42
1991-04,12.08
1991-05,9.58
1991-06,6.08
1991-07,6.99
1991-08,5.14
1991-09,8.34
1991-10,12.35
1991-11,13.81
1991-12,14.12
1992-01,16
1992-02,16.54
1992-03,15.09
1992-04,11.63
1992-05,8.17
1992-06,6.95
1992-07,5.79
1992-08,6.14
1992-09,8.22
1992-10,10.81
1992-11,12.71
1992-12,14.81
1993-01,15.88
1993-02,15.43
1993-03,16.24
1993-04,10.91
1993-05,9.16
1993-06,6.26
1993-07,8.01
1993-08,7.11
1993-09,9.07
1993-10,11.59
1993-11,13.26
1993-12,14.68
1994-01,16.46
1994-02,15.9
1994-03,15.45
1994-04,13.01
1994-05,7.65
1994-06,7.81
1994-07,5.29
1994-08,6.51
1994-09,9.26
1994-10,10.74
1994-11,12.86
1994-12,13.9
1995-01,16.32
1995-02,16.71
1995-03,14.34
1995-04,9.64
1995-05,10.31
1995-06,6.38
1995-07,5.09
1995-08,5.58
1995-09,8.98
1995-10,8.85
1995-11,11.16
1995-12,14.41
1996-01,15.31
1996-02,15.05
1996-03,11.84
1996-04,10.91
1996-05,7.97
1996-06,6.04
1996-07,4.62
1996-08,4.71
1996-09,7.23
1996-10,10.44
1996-11,11.17
1996-12,14.44
1997-01,15.07
1997-02,14.49
1997-03,13.99
1997-04,11.12
1997-05,7.71
1997-06,5.71
1997-07,5.41
1997-08,7.88
1997-09,9.16
1997-10,11.14
1997-11,12.04
1997-12,13.71
1998-01,14.15
1998-02,17.23
1998-03,14.8
1998-04,11.79
1998-05,9.28
1998-06,6.84
1998-07,5.93
1998-08,6.52
1998-09,8.28
1998-10,10.6
1998-11,12.62
1998-12,16
1999-01,17.27
1999-02,16.95
1999-03,16.08
1999-04,12.24
1999-05,10.1
1999-06,7.4
1999-07,6.99
1999-08,7.32
1999-09,7.29
1999-10,12.57
1999-11,13.17
1999-12,18.13
2000-01,15.59
2000-02,17.26
2000-03,16.33
2000-04,12.07
2000-05,8.9
2000-06,7.59
2000-07,7.43
"	",
