
Station ID, Name, Latitude, Longitude, Altitude
68718, ROBERTSON, -33.83, 19.9, 204.0
params, 
Observed ppt (monthly_totals)
date (YYYY-MM), ppt
1979-01,9.60
1979-02,29.00
1979-03,13.60
1979-04,4.00
1979-05,57.10
1979-06,20.20
1979-07,21.50
1979-08,10.80
1979-09,22.60
1979-10,7.00
1979-11,1.00
1979-12,2.50
1980-01,16.00
1980-02,1.00
1980-03,6.00
1980-04,14.50
1980-05,24.70
1980-06,32.30
1980-07,3.00
1980-08,18.00
1980-09,26.10
1980-10,20.30
1980-11,31.80
1980-12,62.00
1981-01,50.10
1981-02,45.30
1981-03,NA
1981-04,NA
1981-05,23.80
1981-06,0.90
1981-07,26.00
1981-08,66.60
1981-09,22.00
1981-10,30.30
1981-11,4.90
1981-12,17.30
1982-01,NA
1982-02,NA
1982-03,5.00
1982-04,104.50
1982-05,NA
1982-06,NA
1982-07,31.00
1982-08,12.00
1982-09,22.10
1982-10,18.50
1982-11,20.00
1982-12,20.00
1983-01,NA
1983-02,NA
1983-03,NA
1983-04,NA
1983-05,NA
1983-06,NA
1983-07,40.20
1983-08,8.50
1983-09,59.10
1983-10,1.70
1983-11,NA
1983-12,NA
1984-01,NA
1984-02,NA
1984-03,NA
1984-04,NA
1984-05,NA
1984-06,NA
1984-07,7.50
1984-08,4.00
1984-09,NA
1984-10,NA
1984-11,NA
1984-12,NA
1985-01,NA
1985-02,NA
1985-03,NA
1985-04,NA
1985-05,NA
1985-06,NA
1985-07,NA
1985-08,NA
1985-09,NA
1985-10,NA
1985-11,NA
1985-12,NA
1986-01,NA
1986-02,NA
1986-03,NA
1986-04,NA
1986-05,NA
1986-06,NA
1986-07,NA
1986-08,NA
1986-09,NA
1986-10,NA
1986-11,NA
1986-12,NA
1987-01,NA
1987-02,NA
1987-03,NA
1987-04,NA
1987-05,NA
1987-06,NA
1987-07,NA
1987-08,28.00
1987-09,44.20
1987-10,7.20
1987-11,0.00
1987-12,19.00
1988-01,1.30
1988-02,1.40
1988-03,6.60
1988-04,53.70
1988-05,16.00
1988-06,29.80
1988-07,12.10
1988-08,43.40
1988-09,16.10
1988-10,17.00
1988-11,3.10
1988-12,27.80
1989-01,6.00
1989-02,10.00
1989-03,29.30
1989-04,87.00
1989-05,3.30
1989-06,245.60
1989-07,8.90
1989-08,58.10
1989-09,25.60
1989-10,40.90
1989-11,30.10
1989-12,5.40
1990-01,4.50
1990-02,22.90
1990-03,13.30
1990-04,57.60
1990-05,35.80
1990-06,53.80
1990-07,19.80
1990-08,8.50
1990-09,6.90
1990-10,8.80
1990-11,3.80
1990-12,40.00
1991-01,33.30
1991-02,11.60
1991-03,16.10
1991-04,10.40
1991-05,14.60
1991-06,42.40
1991-07,46.70
1991-08,10.50
1991-09,12.00
1991-10,60.20
1991-11,1.10
1991-12,9.80
1992-01,3.40
1992-02,4.70
1992-03,4.70
1992-04,25.20
1992-05,31.90
1992-06,68.00
1992-07,73.40
1992-08,18.60
1992-09,22.50
1992-10,46.20
1992-11,16.20
1992-12,0.00
1993-01,10.00
1993-02,29.40
1993-03,15.20
1993-04,99.70
1993-05,27.40
1993-06,25.70
1993-07,72.40
1993-08,22.00
1993-09,13.30
1993-10,2.60
1993-11,3.40
1993-12,38.70
1994-01,6.00
1994-02,12.00
1994-03,115.60
1994-04,50.30
1994-05,27.00
1994-06,48.20
1994-07,36.00
1994-08,32.90
1994-09,38.60
1994-10,47.20
1994-11,2.00
1994-12,62.70
1995-01,2.90
1995-02,14.80
1995-03,37.20
1995-04,7.60
1995-05,51.40
1995-06,18.00
1995-07,23.00
1995-08,33.00
1995-09,5.60
1995-10,12.30
1995-11,39.20
1995-12,56.30
1996-01,10.10
1996-02,26.00
1996-03,6.20
1996-04,14.00
1996-05,21.70
1996-06,50.00
1996-07,71.00
1996-08,11.00
1996-09,24.00
1996-10,72.00
1996-11,48.00
1996-12,7.50
1997-01,1.00
1997-02,7.50
1997-03,29.10
1997-04,20.40
1997-05,50.50
1997-06,63.00
1997-07,23.30
1997-08,23.00
1997-09,14.40
1997-10,14.00
1997-11,22.70
1997-12,1.90
1998-01,29.10
1998-02,2.20
1998-03,12.20
1998-04,39.80
1998-05,60.00
1998-06,17.00
1998-07,25.10
1998-08,23.50
1998-09,7.00
1998-10,0.70
1998-11,48.30
1998-12,51.00
1999-01,3.80
1999-02,2.00
1999-03,3.20
1999-04,14.50
1999-05,41.10
1999-06,15.00
1999-07,15.60
1999-08,51.20
1999-09,19.00
1999-10,5.50
1999-11,14.00
1999-12,32.00
2000-01,NA
2000-02,3.90
2000-03,43.90
2000-04,8.10
2000-05,8.50
2000-06,24.10
2000-07,NA
	
