
Station ID, Name, Latitude, Longitude, Altitude
68718, ROBERTSON, -33.83, 19.9, 204.0
params, 
Observed tmax (monthly_means)
date (YYYY-MM), tmax
1979-01,29.90
1979-02,31.54
1979-03,27.61
1979-04,27.78
1979-05,22.33
1979-06,19.59
1979-07,17.70
1979-08,19.00
1979-09,20.76
1979-10,23.80
1979-11,28.44
1979-12,30.78
1980-01,29.45
1980-02,30.24
1980-03,30.52
1980-04,25.86
1980-05,22.46
1980-06,19.12
1980-07,NA
1980-08,20.89
1980-09,22.15
1980-10,25.29
1980-11,24.56
1980-12,28.07
1981-01,28.30
1981-02,NA
1981-03,26.73
1981-04,25.52
1981-05,22.60
1981-06,NA
1981-07,18.42
1981-08,16.92
1981-09,21.07
1981-10,25.27
1981-11,28.00
1981-12,28.62
1982-01,28.47
1982-02,NA
1982-03,27.93
1982-04,22.75
1982-05,21.19
1982-06,18.67
1982-07,18.05
1982-08,20.34
1982-09,22.97
1982-10,24.44
1982-11,NA
1982-12,NA
1983-01,NA
1983-02,NA
1983-03,NA
1983-04,NA
1983-05,NA
1983-06,18.66
1983-07,17.86
1983-08,20.61
1983-09,21.17
1983-10,NA
1983-11,NA
1983-12,NA
1984-01,NA
1984-02,NA
1984-03,NA
1984-04,NA
1984-05,NA
1984-06,NA
1984-07,19.58
1984-08,NA
1984-09,NA
1984-10,NA
1984-11,NA
1984-12,NA
1985-01,NA
1985-02,NA
1985-03,NA
1985-04,NA
1985-05,NA
1985-06,NA
1985-07,NA
1985-08,NA
1985-09,NA
1985-10,NA
1985-11,NA
1985-12,NA
1986-01,NA
1986-02,NA
1986-03,NA
1986-04,NA
1986-05,NA
1986-06,NA
1986-07,NA
1986-08,NA
1986-09,NA
1986-10,NA
1986-11,25.54
1986-12,29.10
1987-01,29.47
1987-02,30.26
1987-03,28.02
1987-04,25.28
1987-05,23.52
1987-06,19.22
1987-07,18.95
1987-08,20.05
1987-09,20.07
1987-10,23.99
1987-11,26.23
1987-12,28.48
1988-01,30.48
1988-02,32.16
1988-03,29.28
1988-04,22.97
1988-05,23.25
1988-06,18.68
1988-07,18.28
1988-08,21.31
1988-09,21.63
1988-10,23.19
1988-11,27.85
1988-12,28.75
1989-01,30.28
1989-02,30.13
1989-03,27.38
1989-04,24.81
1989-05,21.16
1989-06,17.92
1989-07,17.80
1989-08,18.65
1989-09,20.59
1989-10,21.95
1989-11,26.33
1989-12,29.86
1990-01,31.38
1990-02,30.24
1990-03,28.23
1990-04,23.91
1990-05,21.03
1990-06,16.79
1990-07,17.46
1990-08,19.50
1990-09,23.94
1990-10,24.18
1990-11,26.80
1990-12,29.31
1991-01,29.84
1991-02,29.61
1991-03,29.38
1991-04,27.06
1991-05,23.30
1991-06,18.61
1991-07,18.02
1991-08,18.27
1991-09,21.31
1991-10,22.74
1991-11,27.06
1991-12,30.62
1992-01,31.22
1992-02,30.61
1992-03,28.88
1992-04,24.58
1992-05,21.84
1992-06,18.12
1992-07,18.47
1992-08,18.81
1992-09,21.37
1992-10,23.50
1992-11,27.20
1992-12,29.43
1993-01,31.67
1993-02,31.04
1993-03,30.09
1993-04,22.77
1993-05,20.60
1993-06,19.05
1993-07,19.81
1993-08,20.20
1993-09,22.82
1993-10,25.89
1993-11,28.73
1993-12,27.80
1994-01,30.28
1994-02,30.32
1994-03,27.74
1994-04,25.83
1994-05,22.12
1994-06,18.00
1994-07,18.89
1994-08,18.29
1994-09,21.79
1994-10,25.18
1994-11,26.91
1994-12,28.47
1995-01,29.67
1995-02,30.50
1995-03,26.97
1995-04,22.90
1995-05,22.01
1995-06,19.15
1995-07,17.62
1995-08,19.28
1995-09,21.97
1995-10,22.06
1995-11,26.78
1995-12,26.79
1996-01,28.94
1996-02,29.26
1996-03,27.61
1996-04,26.86
1996-05,23.42
1996-06,19.14
1996-07,16.13
1996-08,19.01
1996-09,20.72
1996-10,22.76
1996-11,22.57
1996-12,27.69
1997-01,29.71
1997-02,28.61
1997-03,27.63
1997-04,23.39
1997-05,22.60
1997-06,17.63
1997-07,19.01
1997-08,20.17
1997-09,23.31
1997-10,25.30
1997-11,25.15
1997-12,28.20
1998-01,26.95
1998-02,29.58
1998-03,27.84
1998-04,25.12
1998-05,20.79
1998-06,19.05
1998-07,17.76
1998-08,19.21
1998-09,21.37
1998-10,24.79
1998-11,25.29
1998-12,28.12
1999-01,30.75
1999-02,28.91
1999-03,28.85
1999-04,24.31
1999-05,21.36
1999-06,20.78
1999-07,20.24
1999-08,21.31
1999-09,21.18
1999-10,25.85
1999-11,26.96
1999-12,31.73
2000-01,30.05
2000-02,28.40
2000-03,24.80
2000-04,24.81
2000-05,22.57
2000-06,20.08
2000-07,18.46
	
