month,pre
1979-01,9.6
1979-02,29
1979-03,13.6
1979-04,4
1979-05,57.1
1979-06,20.2
1979-07,21.5
1979-08,10.8
1979-09,22.6
1979-10,7
1979-11,1
1979-12,2.5
1980-01,16
1980-02,1
1980-03,6
1980-04,14.5
1980-05,24.7
1980-06,32.3
1980-07,3
1980-08,18
1980-09,26.1
1980-10,20.3
1980-11,31.8
1980-12,62
1981-01,50.1
1981-02,45.3
1981-03,NA
1981-04,NA
1981-05,23.8
1981-06,0.9
1981-07,26
1981-08,66.6
1981-09,22
1981-10,30.3
1981-11,4.9
1981-12,17.3
1982-01,NA
1982-02,NA
1982-03,5
1982-04,104.5
1982-05,NA
1982-06,NA
1982-07,31
1982-08,12
1982-09,22.1
1982-10,18.5
1982-11,20
1982-12,20
1983-01,NA
1983-02,NA
1983-03,NA
1983-04,NA
1983-05,NA
1983-06,NA
1983-07,40.2
1983-08,8.5
1983-09,59.1
1983-10,1.7
1983-11,NA
1983-12,NA
1984-01,NA
1984-02,NA
1984-03,NA
1984-04,NA
1984-05,NA
1984-06,NA
1984-07,7.5
1984-08,4
1984-09,NA
1984-10,NA
1984-11,NA
1984-12,NA
1985-01,NA
1985-02,NA
1985-03,NA
1985-04,NA
1985-05,NA
1985-06,NA
1985-07,NA
1985-08,NA
1985-09,NA
1985-10,NA
1985-11,NA
1985-12,NA
1986-01,NA
1986-02,NA
1986-03,NA
1986-04,NA
1986-05,NA
1986-06,NA
1986-07,NA
1986-08,NA
1986-09,NA
1986-10,NA
1986-11,NA
1986-12,NA
1987-01,NA
1987-02,NA
1987-03,NA
1987-04,NA
1987-05,NA
1987-06,NA
1987-07,NA
1987-08,28
1987-09,44.2
1987-10,7.2
1987-11,0
1987-12,19
1988-01,1.3
1988-02,1.4
1988-03,6.6
1988-04,53.7
1988-05,16
1988-06,29.8
1988-07,12.1
1988-08,43.4
1988-09,16.1
1988-10,17
1988-11,3.1
1988-12,27.8
1989-01,6
1989-02,10
1989-03,29.3
1989-04,87
1989-05,3.3
1989-06,245.6
1989-07,8.9
1989-08,58.1
1989-09,25.6
1989-10,40.9
1989-11,30.1
1989-12,5.4
1990-01,4.5
1990-02,22.9
1990-03,13.3
1990-04,57.6
1990-05,35.8
1990-06,53.8
1990-07,19.8
1990-08,8.5
1990-09,6.9
1990-10,8.8
1990-11,3.8
1990-12,40
1991-01,33.3
1991-02,11.6
1991-03,16.1
1991-04,10.4
1991-05,14.6
1991-06,42.4
1991-07,46.7
1991-08,10.5
1991-09,12
1991-10,60.2
1991-11,1.1
1991-12,9.8
1992-01,3.4
1992-02,4.7
1992-03,4.7
1992-04,25.2
1992-05,31.9
1992-06,68
1992-07,73.4
1992-08,18.6
1992-09,22.5
1992-10,46.2
1992-11,16.2
1992-12,0
1993-01,10
1993-02,29.4
1993-03,15.2
1993-04,99.7
1993-05,27.4
1993-06,25.7
1993-07,72.4
1993-08,22
1993-09,13.3
1993-10,2.6
1993-11,3.4
1993-12,38.7
1994-01,6
1994-02,12
1994-03,115.6
1994-04,50.3
1994-05,27
1994-06,48.2
1994-07,36
1994-08,32.9
1994-09,38.6
1994-10,47.2
1994-11,2
1994-12,62.7
1995-01,2.9
1995-02,14.8
1995-03,37.2
1995-04,7.6
1995-05,51.4
1995-06,18
1995-07,23
1995-08,33
1995-09,5.6
1995-10,12.3
1995-11,39.2
1995-12,56.3
1996-01,10.1
1996-02,26
1996-03,6.2
1996-04,14
1996-05,21.7
1996-06,50
1996-07,71
1996-08,11
1996-09,24
1996-10,72
1996-11,48
1996-12,7.5
1997-01,1
1997-02,7.5
1997-03,29.1
1997-04,20.4
1997-05,50.5
1997-06,63
1997-07,23.3
1997-08,23
1997-09,14.4
1997-10,14
1997-11,22.7
1997-12,1.9
1998-01,29.1
1998-02,2.2
1998-03,12.2
1998-04,39.8
1998-05,60
1998-06,17
1998-07,25.1
1998-08,23.5
1998-09,7
1998-10,0.7
1998-11,48.3
1998-12,51
1999-01,3.8
1999-02,2
1999-03,3.2
1999-04,14.5
1999-05,41.1
1999-06,15
1999-07,15.6
1999-08,51.2
1999-09,19
1999-10,5.5
1999-11,14
1999-12,32
2000-01,NA
2000-02,3.9
2000-03,43.9
2000-04,8.1
2000-05,8.5
2000-06,24.1
2000-07,NA
"	",
