date,tmx
1960-01,32.66
1960-02,29.14
1960-03,30.82
1960-04,27.96
1960-05,26.65
1960-06,24.95
1960-07,24.98
1960-08,27.74
1960-09,27.95
1960-10,31.14
1960-11,29.61
1960-12,30.46
1961-01,34.05
1961-02,32.48
1961-03,32.12
1961-04,29.5
1961-05,29.44
1961-06,24.72
1961-07,24.87
1961-08,25.31
1961-09,29.41
1961-10,29.68
1961-11,29.94
1961-12,30.14
1962-01,32.14
1962-02,34.85
1962-03,33.08
1962-04,30.27
1962-05,27.04
1962-06,28.66
1962-07,26.57
1962-08,28.32
1962-09,31.61
1962-10,32.85
1962-11,30.34
1962-12,30.91
1963-01,31.56
1963-02,31.74
1963-03,31.21
1963-04,27.92
1963-05,26.81
1963-06,24.25
1963-07,23.95
1963-08,26.95
1963-09,31.66
1963-10,31.14
1963-11,31.71
1963-12,33.15
1964-01,32.49
1964-02,NA
1964-03,33.39
1964-04,29.42
1964-05,27.61
1964-06,25.64
1964-07,24.42
1964-08,26.16
1964-09,29.87
1964-10,29.51
1964-11,30.81
1964-12,29.72
1965-01,31.82
1965-02,34.25
1965-03,32.77
1965-04,29.46
1965-05,28.16
1965-06,24.03
1965-07,26.35
1965-08,28.42
1965-09,29.06
1965-10,29.81
1965-11,29.2
1965-12,33.64
1966-01,32.3
1966-02,29.44
1966-03,31.54
1966-04,29.43
1966-05,28.61
1966-06,26.46
1966-07,27.44
1966-08,27.98
1966-09,28.67
1966-10,30.11
1966-11,30.66
1966-12,30.92
1967-01,31.87
1967-02,30.1
1967-03,29.54
1967-04,28.2
1967-05,27.54
1967-06,26.15
1967-07,24.12
1967-08,26.57
1967-09,29.42
1967-10,29.83
1967-11,32.47
1967-12,33.03
1968-01,35.02
1968-02,32.32
1968-03,29.58
1968-04,27.86
1968-05,27.85
1968-06,23.47
1968-07,26.91
1968-08,26.99
1968-09,29.29
1968-10,31.24
1968-11,29.73
1968-12,32.72
1969-01,35.36
1969-02,35.03
1969-03,30.7
1969-04,29.78
1969-05,27.98
1969-06,26.62
1969-07,26.57
1969-08,27.95
1969-09,29
1969-10,28.68
1969-11,31.68
1969-12,31.21
1970-01,35.35
1970-02,34.24
1970-03,32.6
1970-04,31.01
1970-05,29.43
1970-06,25.74
1970-07,26.73
1970-08,29.53
1970-09,31.81
1970-10,30.78
1970-11,33.39
1970-12,33.98
1971-01,31.75
1971-02,31.65
1971-03,32.6
1971-04,29.27
1971-05,26.39
1971-06,24.89
1971-07,26.62
1971-08,28.29
1971-09,30.57
1971-10,29.55
1971-11,27.89
1971-12,31.18
1972-01,31.58
1972-02,29.67
1972-03,29.72
1972-04,30.03
1972-05,26.72
1972-06,25.41
1972-07,26.14
1972-08,27.28
1972-09,30.24
1972-10,30.39
1972-11,30.69
1972-12,36.13
1973-01,34.63
1973-02,33.39
1973-03,33.58
1973-04,27.8
1973-05,27.9
1973-06,26.35
1973-07,26
1973-08,27.31
1973-09,29.12
1973-10,28.72
1973-11,28.4
1973-12,28.79
1974-01,32.27
1974-02,31.37
1974-03,30.88
1974-04,27.35
1974-05,27.66
1974-06,26.13
1974-07,25.41
1974-08,27.33
1974-09,28.76
1974-10,31.3
1974-11,30.52
1974-12,31.44
1975-01,32.45
1975-02,30.13
1975-03,29.53
1975-04,30
1975-05,28.51
1975-06,25.43
1975-07,26.62
1975-08,27.65
1975-09,29.28
1975-10,30.12
1975-11,NA
1975-12,30.53
1976-01,29.47
1976-02,30.02
1976-03,29.88
1976-04,28.84
1976-05,25.46
1976-06,26.06
1976-07,27.16
1976-08,26.45
1976-09,30.11
1976-10,30.2
1976-11,31.79
1976-12,33.88
1977-01,35.33
1977-02,30.48
1977-03,27.58
1977-04,30.27
1977-05,29.36
1977-06,27.86
1977-07,25.98
1977-08,27.05
1977-09,28.95
1977-10,31.05
1977-11,32.74
1977-12,34.75
1978-01,29.55
1978-02,30.62
1978-03,30.03
1978-04,28.35
1978-05,28.87
1978-06,25.37
1978-07,25.67
1978-08,29.5
1978-09,30.03
1978-10,28.84
1978-11,30.15
1978-12,32.58
1979-01,32.74
1979-02,33.94
1979-03,31.66
1979-04,31.66
1979-05,27.79
1979-06,26.22
1979-07,24.95
1979-08,27.59
1979-09,27.97
1979-10,30.8
1979-11,30.81
1979-12,32.14
1980-01,30.94
1980-02,31.88
1980-03,30.81
1980-04,31.01
1980-05,28.93
1980-06,26.4
1980-07,25.08
1980-08,26.55
1980-09,27.32
1980-10,29.99
1980-11,31.04
1980-12,32.55
1981-01,33.48
1981-02,29.84
1981-03,29.74
1981-04,29.61
1981-05,25.71
1981-06,25.32
1981-07,26.12
1981-08,24.59
1981-09,26.72
1981-10,26.54
1981-11,31.47
1981-12,31.71
1982-01,31.92
1982-02,33.7
1982-03,33.17
1982-04,28.57
1982-05,27.09
1982-06,26.19
1982-07,26
1982-08,28.16
1982-09,28.74
1982-10,29.88
1982-11,30.95
1982-12,34.87
1983-01,34.58
1983-02,34.37
1983-03,31.65
1983-04,31.72
1983-05,27.86
1983-06,26.22
1983-07,25.9
1983-08,26.27
1983-09,30.76
1983-10,28.49
1983-11,30.76
1983-12,30.95
1984-01,31.38
1984-02,30.58
1984-03,29.89
1984-04,28.07
1984-05,28.98
1984-06,25.25
1984-07,24.25
1984-08,25.58
1984-09,27.24
1984-10,28.81
1984-11,28.54
1984-12,32.31
1985-01,33.32
1985-02,31.21
1985-03,31.04
1985-04,29.67
1985-05,25.87
1985-06,26.43
1985-07,25.57
1985-08,27.85
1985-09,29.55
1985-10,31.7
1985-11,30.83
1985-12,32.39
1986-01,32.54
1986-02,32.05
1986-03,32.97
1986-04,28.92
1986-05,28.19
1986-06,26.12
1986-07,26.26
1986-08,29.3
1986-09,28.74
1986-10,30.58
1986-11,30.37
1986-12,31.84
1987-01,32.23
1987-02,35.33
1987-03,31.56
1987-04,30.9
1987-05,30.68
1987-06,25.29
1987-07,25.79
1987-08,26.11
1987-09,27.12
1987-10,27.12
1987-11,30.55
1987-12,31.18
1988-01,32.66
1988-02,33.02
1988-03,30.84
1988-04,30.57
1988-05,28.52
1988-06,26.24
1988-07,26.93
1988-08,28.78
1988-09,30
1988-10,28.58
1988-11,30.67
1988-12,28.65
1989-01,32.62
1989-02,29.69
1989-03,30.88
1989-04,28.58
1989-05,28.68
1989-06,25.26
1989-07,26.43
1989-08,28.65
1989-09,29.79
1989-10,31.36
1989-11,29.43
1989-12,30.73
1990-01,32.48
1990-02,31.02
1990-03,32.22
1990-04,29.55
1990-05,27.74
1990-06,27.48
1990-07,26.26
1990-08,26.26
1990-09,28.81
1990-10,30.96
1990-11,32.17
1990-12,30.96
1991-01,34.08
1991-02,33.35
1991-03,30.53
1991-04,30.86
1991-05,28.87
1991-06,24.98
1991-07,26.44
1991-08,NA
1991-09,29.31
1991-10,31.74
1991-11,32.29
1991-12,31.51
1992-01,34.77
1992-02,35.88
1992-03,33.27
1992-04,32.83
1992-05,30.1
1992-06,27.45
1992-07,26.63
1992-08,27.12
1992-09,31.08
1992-10,32.24
1992-11,31.55
1992-12,33.99
1993-01,32.93
1993-02,32.58
1993-03,29.88
1993-04,31.5
1993-05,29.33
1993-06,26.37
1993-07,26.83
1993-08,26.6
1993-09,31.91
1993-10,30.66
1993-11,31.24
1993-12,33.38
1994-01,31.03
1994-02,31.94
1994-03,32.65
1994-04,30.19
1994-05,28.59
1994-06,26.69
1994-07,25.18
1994-08,26.51
1994-09,29.53
1994-10,27.78
1994-11,33.38
1994-12,32.13
1995-01,32.21
1995-02,31.98
1995-03,31.35
1995-04,29.86
1995-05,25.95
1995-06,25.48
1995-07,26.47
1995-08,27.63
1995-09,30.92
1995-10,32.55
1995-11,30.64
1995-12,31.18
1996-01,31.22
1996-02,30.6
1996-03,29.31
1996-04,27.48
1996-05,26.65
1996-06,26.1
1996-07,24.36
1996-08,26.2
1996-09,31.1
1996-10,32.01
1996-11,33.1
1996-12,33.04
1997-01,32.22
1997-02,33.32
1997-03,31
1997-04,28.98
1997-05,26.82
1997-06,28
1997-07,25.34
1997-08,28.66
1997-09,29.2
1997-10,29.32
1997-11,32.22
1997-12,31.76
1998-01,32.29
1998-02,33.08
1998-03,34.8
1998-04,31.96
1998-05,30.25
1998-06,28.28
1998-07,26.34
1998-08,27.94
1998-09,29.84
1998-10,28.72
1998-11,30.05
1998-12,30.09
1999-01,32.3
1999-02,30.17
1999-03,30.83
1999-04,29.72
1999-05,28.06
1999-06,27.47
1999-07,26.6
1999-08,28.37
1999-09,28.43
1999-10,28.88
1999-11,30.69
1999-12,32.89
2000-01,29.4
2000-02,29.07
2000-03,29.84
2000-04,27.4
2000-05,26.15
2000-06,25.85
2000-07,25.63
2000-08,27.94
2000-09,28.64
2000-10,29.72
2000-11,29.41
2000-12,32.38
2001-01,32.99
2001-02,31.35
2001-03,30.65
2001-04,29.6
2001-05,27.76
"	",
