
Station ID, Name, Latitude, Longitude, Altitude
68614, VREDENDAL, -31.67, 18.5, 33.0
params, 
Observed tmin (monthly_means)
date (YYYY-MM), tmin
1979-01,15.57
1979-02,15.25
1979-03,12.68
1979-04,10.86
1979-05,10.16
1979-06,8.19
1979-07,6.07
1979-08,6.60
1979-09,7.50
1979-10,9.36
1979-11,12.71
1979-12,13.54
1980-01,15.10
1980-02,14.11
1980-03,13.58
1980-04,10.83
1980-05,8.07
1980-06,7.75
1980-07,7.23
1980-08,8.00
1980-09,9.27
1980-10,9.90
1980-11,13.04
1980-12,14.17
1981-01,14.28
1981-02,15.33
1981-03,13.45
1981-04,10.97
1981-05,9.64
1981-06,4.88
1981-07,5.76
1981-08,7.26
1981-09,9.93
1981-10,11.71
1981-11,12.50
1981-12,14.80
1982-01,15.54
1982-02,19.78
1982-03,16.69
1982-04,12.23
1982-05,9.89
1982-06,7.51
1982-07,7.29
1982-08,7.40
1982-09,9.81
1982-10,12.87
1982-11,11.98
1982-12,13.24
1983-01,14.37
1983-02,14.30
1983-03,13.31
1983-04,NA
1983-05,10.09
1983-06,8.27
1983-07,6.71
1983-08,7.24
1983-09,9.44
1983-10,11.81
1983-11,12.34
1983-12,13.93
1984-01,15.28
1984-02,NA
1984-03,15.67
1984-04,12.41
1984-05,10.70
1984-06,9.58
1984-07,7.12
1984-08,7.59
1984-09,9.57
1984-10,11.17
1984-11,13.54
1984-12,14.11
1985-01,15.97
1985-02,15.98
1985-03,13.24
1985-04,12.63
1985-05,9.86
1985-06,8.02
1985-07,7.18
1985-08,8.10
1985-09,NA
1985-10,12.72
1985-11,16.16
1985-12,15.85
1986-01,16.05
1986-02,15.24
1986-03,13.13
1986-04,NA
1986-05,NA
1986-06,10.17
1986-07,7.62
1986-08,9.38
1986-09,10.11
1986-10,11.89
1986-11,12.07
1986-12,NA
1987-01,14.48
1987-02,14.67
1987-03,13.79
1987-04,11.82
1987-05,10.82
1987-06,7.78
1987-07,7.43
1987-08,7.60
1987-09,10.00
1987-10,11.48
1987-11,11.83
1987-12,14.31
1988-01,14.08
1988-02,16.61
1988-03,15.80
1988-04,NA
1988-05,10.85
1988-06,7.99
1988-07,6.11
1988-08,8.11
1988-09,8.97
1988-10,10.02
1988-11,13.51
1988-12,15.62
1989-01,15.73
1989-02,16.78
1989-03,14.33
1989-04,13.10
1989-05,9.40
1989-06,7.57
1989-07,7.24
1989-08,8.09
1989-09,9.37
1989-10,9.09
1989-11,12.59
1989-12,14.44
1990-01,14.58
1990-02,17.00
1990-03,15.53
1990-04,13.19
1990-05,9.46
1990-06,5.53
1990-07,6.16
1990-08,6.87
1990-09,9.00
1990-10,9.90
1990-11,12.60
1990-12,14.95
1991-01,14.35
1991-02,14.36
1991-03,15.66
1991-04,11.96
1991-05,9.38
1991-06,8.38
1991-07,8.41
1991-08,6.62
1991-09,10.07
1991-10,12.80
1991-11,12.12
1991-12,13.55
1992-01,15.00
1992-02,15.50
1992-03,15.10
1992-04,11.31
1992-05,8.19
1992-06,7.23
1992-07,7.51
1992-08,7.74
1992-09,8.75
1992-10,11.95
1992-11,13.52
1992-12,14.05
1993-01,15.27
1993-02,14.23
1993-03,15.28
1993-04,11.92
1993-05,10.12
1993-06,6.90
1993-07,9.12
1993-08,8.94
1993-09,8.98
1993-10,11.22
1993-11,13.09
1993-12,14.78
1994-01,15.18
1994-02,16.31
1994-03,15.54
1994-04,14.14
1994-05,7.22
1994-06,7.37
1994-07,5.65
1994-08,7.23
1994-09,10.18
1994-10,11.53
1994-11,12.66
1994-12,14.59
1995-01,15.49
1995-02,15.87
1995-03,14.41
1995-04,10.50
1995-05,10.66
1995-06,7.37
1995-07,5.55
1995-08,6.98
1995-09,9.25
1995-10,11.01
1995-11,13.14
1995-12,16.42
1996-01,16.41
1996-02,15.27
1996-03,13.23
1996-04,13.53
1996-05,10.87
1996-06,8.16
1996-07,7.04
1996-08,6.15
1996-09,8.74
1996-10,11.12
1996-11,12.17
1996-12,13.94
1997-01,14.76
1997-02,13.88
1997-03,12.73
1997-04,11.06
1997-05,9.19
1997-06,7.40
1997-07,6.92
1997-08,7.95
1997-09,11.14
1997-10,12.55
1997-11,13.43
1997-12,14.58
1998-01,14.54
1998-02,17.48
1998-03,14.62
1998-04,11.42
1998-05,10.41
1998-06,5.67
1998-07,7.63
1998-08,8.05
1998-09,9.22
1998-10,12.97
1998-11,12.77
1998-12,16.20
1999-01,16.35
1999-02,16.67
1999-03,15.29
1999-04,14.12
1999-05,11.95
1999-06,8.91
1999-07,7.39
1999-08,7.59
1999-09,8.96
1999-10,12.76
1999-11,12.85
1999-12,16.54
2000-01,18.64
2000-02,15.35
2000-03,15.29
2000-04,11.83
2000-05,9.25
2000-06,7.71
2000-07,7.90
	
