year,mt/ha,t
1960,1.28,1
1961,1.38,2
1962,1.41,3
1963,0.97,4
1964,1.07,5
1965,1.21,6
1966,2.13,7
1967,1.12,8
1968,1.22,9
1969,1.45,10
1970,1.95,11
1971,2.07,12
1972,1.15,13
1973,2.49,14
1974,2.04,15
1975,1.61,16
1976,2.18,17
1977,2.24,18
1978,1.94,19
1979,2.42,20
1980,3.31,21
1981,1.88,22
1982,0.94,23
1983,0.99,24
1984,1.88,25
1985,1.78,26
1986,1.56,27
1987,1.62,28
1988,2.84,29
1989,2.21,30
1990,2.26,31
1991,0.79,32
1992,2.28,33
1993,2.85,34
1994,1.38,35
1995,2.7,36
1996,2.52,37
1997,2.16,38
1998,2.23,39
1999,3,40
2000,2.49,41
2001,2.84,42
2002,2.65,43
2003,2.94,44
2004,3.64,45
2005,3.41,46
2006,2.52,47
2007,3.99,48
2008,4.34,49
2009,4.11,50
2010,3.82,51
2011,4.06,52
2012,3.82,53
2013,4.85,54
2014,3.49,55
2015,3.71,56
2016,5.86,57
2017,4.97,58
2018,4.55,59
2019,5.58,60
2020,5.19,61
