year,mt1000
1960,769
1961,871
1962,705
1963,880
1964,1060
1965,656
1966,548
1967,1077
1968,1247
1969,1316
1970,1396
1971,1670
1972,1746
1973,1871
1974,1596
1975,1792
1976,2239
1977,1860
1978,1690
1979,2086
1980,1470
1981,2339
1982,2420
1983,1809
1984,2224
1985,1680
1986,2321
1987,3135
1988,3535
1989,2026
1990,1702
1991,2132
1992,1318
1993,1975
1994,1832
1995,1950
1996,2712
1997,2283
1998,1884
1999,1725
2000,2349
2001,2490
2002,2320
2003,1540
2004,1680
2005,1886
2006,2105
2007,1905
2008,2130
2009,1960
2010,1430
2011,2005
2012,1870
2013,1870
2014,1750
2015,1440
2016,1910
2017,1535
2018,1868
2019,1535
2020,1700
