date,tmx
1979-01,29.42
1979-02,29.93
1979-03,28.87
1979-04,26.5
1979-05,21.13
1979-06,16.8
1979-07,15.45
1979-08,19
1979-09,21.93
1979-10,26
1979-11,28.33
1979-12,30.81
1980-01,31.26
1980-02,30.04
1980-03,27.16
1980-04,24.37
1980-05,21.77
1980-06,16.97
1980-07,18.35
1980-08,20.26
1980-09,21.63
1980-10,27.45
1980-11,27.07
1980-12,29.58
1981-01,29.59
1981-02,27.43
1981-03,24.71
1981-04,24.5
1981-05,19.65
1981-06,15.93
1981-07,17.94
1981-08,17.03
1981-09,20.63
1981-10,22.84
1981-11,29.53
1981-12,28.16
1982-01,31.36
1982-02,30.07
1982-03,26.74
1982-04,19.65
1982-05,21.53
1982-06,17.01
1982-07,17.02
1982-08,20.34
1982-09,25.25
1982-10,26.35
1982-11,27.04
1982-12,31.2
1983-01,34.02
1983-02,31.45
1983-03,28.89
1983-04,27.28
1983-05,20.27
1983-06,17.41
1983-07,17.29
1983-08,19.7
1983-09,25.15
1983-10,26.81
1983-11,28.01
1983-12,30.39
1984-01,31.81
1984-02,32.73
1984-03,28.99
1984-04,23.76
1984-05,19.15
1984-06,17.15
1984-07,18.13
1984-08,21
1984-09,25.23
1984-10,26.24
1984-11,28.34
1984-12,29.83
1985-01,31.52
1985-02,29.16
1985-03,26.47
1985-04,23.88
1985-05,21.51
1985-06,19.21
1985-07,17.46
1985-08,22.77
1985-09,24.51
1985-10,27.85
1985-11,28.61
1985-12,28.89
1986-01,31.45
1986-02,30.15
1986-03,27.87
1986-04,25.9
1986-05,23.15
1986-06,17.33
1986-07,18.08
1986-08,20.78
1986-09,23
1986-10,25.5
1986-11,25.91
1986-12,32.07
1987-01,33.17
1987-02,31.12
1987-03,28.28
1987-04,25.89
1987-05,23.22
1987-06,16.82
1987-07,16.99
1987-08,18.42
1987-09,20.04
1987-10,25.54
1987-11,29.21
1987-12,31.42
1988-01,33.51
1988-02,27.75
1988-03,26.09
1988-04,20.8
1988-05,20.31
1988-06,15.77
1988-07,18.1
1988-08,21.38
1988-09,22.47
1988-10,23.29
1988-11,26.51
1988-12,27.61
1989-01,28.38
1989-02,25
1989-03,26.25
1989-04,22.65
1989-05,20.39
1989-06,17.22
1989-07,17.14
1989-08,22
1989-09,23.16
1989-10,26.78
1989-11,27.41
1989-12,31.47
1990-01,31.24
1990-02,28.57
1990-03,27.63
1990-04,23.42
1990-05,20.62
1990-06,17.08
1990-07,17.05
1990-08,20.48
1990-09,25.24
1990-10,28.18
1990-11,30.8
1990-12,30.55
1991-01,29.61
1991-02,28.95
1991-03,25.96
1991-04,25.13
1991-05,22.52
1991-06,16.55
1991-07,17.71
1991-08,20.25
1991-09,23.23
1991-10,24.46
1991-11,27.76
1991-12,29.36
1992-01,33.22
1992-02,33.24
1992-03,29.55
1992-04,26.77
1992-05,22.79
1992-06,18.47
1992-07,18.89
1992-08,19.27
1992-09,27.29
1992-10,27.15
1992-11,27.48
1992-12,33.38
1993-01,33.33
1993-02,27.87
1993-03,28.02
1993-04,23.41
1993-05,21.7
1993-06,17.98
1993-07,19.54
1993-08,20.52
1993-09,27.19
1993-10,25.67
1993-11,27.72
1993-12,30.8
1994-01,28.61
1994-02,26.02
1994-03,26.57
1994-04,24.86
1994-05,21.92
1994-06,16.01
1994-07,17.28
1994-08,20.65
1994-09,25.76
1994-10,24.76
1994-11,28.48
1994-12,32.44
1995-01,32.26
1995-02,33.17
1995-03,27.53
1995-04,23.99
1995-05,19.93
1995-06,17.88
1995-07,17.76
1995-08,21.82
1995-09,26.76
1995-10,26.21
1995-11,27.26
1995-12,26.57
1996-01,30.14
1996-02,27.56
1996-03,27.03
1996-04,23.08
1996-05,20.68
1996-06,18.74
1996-07,15.49
1996-08,18.03
1996-09,24.43
1996-10,27.33
1996-11,26.2
1996-12,29.12
1997-01,29.08
1997-02,31.01
1997-03,26.01
1997-04,22.23
1997-05,19.82
1997-06,17.01
1997-07,18.49
1997-08,22.31
1997-09,25.07
1997-10,27.17
1997-11,28.36
1997-12,33.4
1998-01,28.22
1998-02,28.3
1998-03,24.52
1998-04,22.9
1998-05,20.94
1998-06,19.03
1998-07,18.46
1998-08,20.3
1998-09,25.12
1998-10,25.87
1998-11,27.58
1998-12,29.68
1999-01,31.03
1999-02,31.79
1999-03,30.12
1999-04,26.72
1999-05,19.75
1999-06,18.97
1999-07,19.3
1999-08,20.72
1999-09,23.71
1999-10,25.99
1999-11,31.76
1999-12,26.97
2000-01,26.51
2000-02,29.25
2000-03,27.24
2000-04,22.17
2000-05,19.39
2000-06,19.13
2000-07,16.99
,
,
,
,
,
"	",
