date,pre
1979-01,62.1
1979-02,NA
1979-03,28.3
1979-04,NA
1979-05,22.2
1979-06,3.1
1979-07,32.1
1979-08,77
1979-09,10.5
1979-10,32.2
1979-11,NA
1979-12,NA
1980-01,NA
1980-02,NA
1980-03,NA
1980-04,16
1980-05,2
1980-06,0.4
1980-07,0
1980-08,12.7
1980-09,65.5
1980-10,NA
1980-11,NA
1980-12,NA
1981-01,NA
1981-02,NA
1981-03,74.2
1981-04,36
1981-05,34.3
1981-06,33
1981-07,0.1
1981-08,116
1981-09,29
1981-10,23.1
1981-11,NA
1981-12,NA
1982-01,57.1
1982-02,NA
1982-03,61.8
1982-04,138.4
1982-05,0
1982-06,20
1982-07,26.6
1982-08,0
1982-09,18.2
1982-10,39.5
1982-11,54.3
1982-12,29.8
1983-01,9.1
1983-02,43
1983-03,42.9
1983-04,6
1983-05,18.1
1983-06,25.2
1983-07,40.4
1983-08,0
1983-09,4.7
1983-10,12.7
1983-11,102.1
1983-12,12.4
1984-01,47.3
1984-02,38.2
1984-03,42.9
1984-04,34.4
1984-05,48.9
1984-06,2.5
1984-07,0.4
1984-08,11.4
1984-09,1
1984-10,30.3
1984-11,39.1
1984-12,42.7
1985-01,37.5
1985-02,93.9
1985-03,61.7
1985-04,15
1985-05,3.3
1985-06,15
1985-07,2.7
1985-08,0
1985-09,0.5
1985-10,41.4
1985-11,53.6
1985-12,58.4
1986-01,30.1
1986-02,24.1
1986-03,54.8
1986-04,18.5
1986-05,0
1986-06,8.2
1986-07,0
1986-08,26
1986-09,9.6
1986-10,100.9
1986-11,106
1986-12,35
1987-01,9.2
1987-02,125.5
1987-03,43.1
1987-04,62.9
1987-05,0.4
1987-06,2.1
1987-07,14.9
1987-08,45.7
1987-09,188.8
1987-10,10.9
1987-11,54.4
1987-12,34.2
1988-01,54.2
1988-02,435.6
1988-03,156.8
1988-04,116.6
1988-05,10.4
1988-06,8.9
1988-07,2.8
1988-08,0
1988-09,53.4
1988-10,61
1988-11,67.7
1988-12,67.7
1989-01,124.5
1989-02,155.3
1989-03,64.5
1989-04,47.6
1989-05,17.8
1989-06,19
1989-07,2.7
1989-08,4.3
1989-09,5
1989-10,9
1989-11,95.5
1989-12,39.1
1990-01,63.6
1990-02,83.8
1990-03,87
1990-04,68.3
1990-05,4.6
1990-06,20.6
1990-07,8.2
1990-08,16
1990-09,1.1
1990-10,3.8
1990-11,2.7
1990-12,67.7
1991-01,142.3
1991-02,99
1991-03,151.2
1991-04,2.5
1991-05,0
1991-06,22
1991-07,4
1991-08,0
1991-09,44.7
1991-10,223.6
1991-11,55
1991-12,44.9
1992-01,39.2
1992-02,12.9
1992-03,22.5
1992-04,16.6
1992-05,0
1992-06,0
1992-07,0
1992-08,17.1
1992-09,0.1
1992-10,21
1992-11,121.9
1992-12,0.6
1993-01,49.8
1993-02,45.8
1993-03,74
1993-04,27.6
1993-05,6.1
1993-06,1.4
1993-07,0.2
1993-08,24.4
1993-09,4
1993-10,178.1
1993-11,37.3
1993-12,26.2
1994-01,144.6
1994-02,169
1994-03,100
1994-04,8
1994-05,0.6
1994-06,0.8
1994-07,1
1994-08,0
1994-09,0.2
1994-10,0.2
1994-11,19.1
1994-12,18.2
1995-01,96.8
1995-02,26.1
1995-03,78
1995-04,16.4
1995-05,42.6
1995-06,0.5
1995-07,0.1
1995-08,3
1995-09,5.7
1995-10,76.4
1995-11,83.1
1995-12,145.5
1996-01,119.1
1996-02,126.2
1996-03,26.8
1996-04,65.2
1996-05,0.4
1996-06,0
1996-07,30.2
1996-08,3.2
1996-09,19.1
1996-10,26.5
1996-11,155
1996-12,164.2
1997-01,88
1997-02,9.2
1997-03,118.7
1997-04,35.4
1997-05,29.5
1997-06,17.5
1997-07,17
1997-08,5.4
1997-09,13.6
1997-10,20.8
1997-11,17.1
1997-12,32.6
1998-01,263.5
1998-02,172.2
1998-03,107.8
1998-04,12
1998-05,2
1998-06,0
1998-07,5
1998-08,0
1998-09,20.8
1998-10,78.8
1998-11,67.3
1998-12,42.1
1999-01,30.8
1999-02,31.3
1999-03,31.9
1999-04,25.5
1999-05,59.4
1999-06,0.2
1999-07,2.2
1999-08,0.2
1999-09,0.2
1999-10,88.3
1999-11,35.2
1999-12,122.6
2000-01,110.4
2000-02,60.5
2000-03,131.6
2000-04,49.4
2000-05,10
2000-06,2.3
2000-07,1.6
,
,
,
,
,
"	",
