date,tmn
1979-01,20.61
1979-02,22.46
1979-03,20.32
1979-04,19.2
1979-05,15.19
1979-06,11.57
1979-07,11.42
1979-08,13.77
1979-09,14.9
1979-10,17
1979-11,18.23
1979-12,19.32
1980-01,20.1
1980-02,21.62
1980-03,21
1980-04,18
1980-05,14.16
1980-06,10.83
1980-07,9.87
1980-08,13.65
1980-09,16.07
1980-10,17.1
1980-11,19.5
1980-12,20.68
1981-01,21.69
1981-02,21.79
1981-03,20.39
1981-04,17.53
1981-05,14.13
1981-06,10.73
1981-07,10.61
1981-08,12.71
1981-09,14.23
1981-10,15.42
1981-11,19.17
1981-12,20
1982-01,21.61
1982-02,21.7
1982-03,20.09
1982-04,17.6
1982-05,14.72
1982-06,10.83
1982-07,12.11
1982-08,13.68
1982-09,16.95
1982-10,17.06
1982-11,18.31
1982-12,20.37
1983-01,21.77
1983-02,20.92
1983-03,20.57
1983-04,19.97
1983-05,15.64
1983-06,12
1983-07,11.99
1983-08,12.82
1983-09,16.5
1983-10,17.14
1983-11,19.73
1983-12,21.41
1984-01,21.52
1984-02,21.64
1984-03,20.8
1984-04,17.37
1984-05,14.88
1984-06,11.58
1984-07,12.89
1984-08,13.16
1984-09,16.12
1984-10,17.51
1984-11,18.37
1984-12,20.14
1985-01,22.5
1985-02,22.62
1985-03,20.99
1985-04,18.41
1985-05,14.05
1985-06,12.55
1985-07,11.77
1985-08,13.3
1985-09,16.24
1985-10,18.46
1985-11,19.99
1985-12,20.73
1986-01,21.56
1986-02,21.09
1986-03,20.94
1986-04,19.38
1986-05,14.26
1986-06,12.36
1986-07,11.33
1986-08,13.94
1986-09,15.65
1986-10,17.15
1986-11,18.06
1986-12,20.35
1987-01,21.63
1987-02,22.91
1987-03,21.05
1987-04,19.43
1987-05,15.81
1987-06,11.49
1987-07,11.71
1987-08,12.45
1987-09,16.62
1987-10,16.8
1987-11,19.1
1987-12,21.46
1988-01,22.16
1988-02,22.55
1988-03,22
1988-04,18.04
1988-05,14.68
1988-06,11.47
1988-07,12.21
1988-08,14.44
1988-09,16.02
1988-10,17.27
1988-11,18.43
1988-12,19.88
1989-01,21.72
1989-02,21.45
1989-03,21.78
1989-04,18.12
1989-05,15.92
1989-06,12.51
1989-07,11.77
1989-08,14.3
1989-09,15.33
1989-10,16.55
1989-11,19.08
1989-12,21.25
1990-01,21.55
1990-02,21.23
1990-03,19.95
1990-04,19.11
1990-05,14.78
1990-06,11.07
1990-07,12.11
1990-08,13.96
1990-09,15.01
1990-10,17.74
1990-11,18.5
1990-12,20.2
1991-01,21.44
1991-02,22.22
1991-03,20.68
1991-04,17.98
1991-05,15.14
1991-06,12.36
1991-07,11.95
1991-08,13.23
1991-09,16.33
1991-10,18
1991-11,19.36
1991-12,20.68
1992-01,21.33
1992-02,22.59
1992-03,20.7
1992-04,19.37
1992-05,12.62
1992-06,9.82
1992-07,9.87
1992-08,12.09
1992-09,15.39
1992-10,17.1
1992-11,18.32
1992-12,20.7
1993-01,20.89
1993-02,20.85
1993-03,19.98
1993-04,17.81
1993-05,15.51
1993-06,11.32
1993-07,12.14
1993-08,12.7
1993-09,16.21
1993-10,17.78
1993-11,18.47
1993-12,19.9
1994-01,20.21
1994-02,20.64
1994-03,20.16
1994-04,18.02
1994-05,13.42
1994-06,9.95
1994-07,9.94
1994-08,12.49
1994-09,15.51
1994-10,16.19
1994-11,18.55
1994-12,19.84
1995-01,21.37
1995-02,21.97
1995-03,20.18
1995-04,17.07
1995-05,14.42
1995-06,10.74
1995-07,10.46
1995-08,12.36
1995-09,15.77
1995-10,17
1995-11,18.6
1995-12,18.76
1996-01,21.18
1996-02,21.32
1996-03,19.45
1996-04,16.58
1996-05,13.32
1996-06,8.97
1996-07,9.95
1996-08,11.43
1996-09,14.76
1996-10,17.23
1996-11,18.56
1996-12,21.15
1997-01,21.11
1997-02,21.06
1997-03,20.26
1997-04,16.52
1997-05,13.66
1997-06,10.72
1997-07,10.9
1997-08,13.73
1997-09,15.8
1997-10,16.81
1997-11,17.99
1997-12,19.54
1998-01,20.98
1998-02,21.86
1998-03,20.76
1998-04,18.76
1998-05,13.51
1998-06,10.19
1998-07,12.12
1998-08,12.97
1998-09,15.49
1998-10,16.8
1998-11,18.92
1998-12,20.08
1999-01,22.11
1999-02,21.65
1999-03,21.87
1999-04,18.58
1999-05,15.37
1999-06,11.3
1999-07,12.23
1999-08,13.29
1999-09,14.75
1999-10,16.63
1999-11,19.62
1999-12,21.17
2000-01,20.24
2000-02,22.42
2000-03,21.53
2000-04,16.72
2000-05,13.74
2000-06,11.71
2000-07,10.44
,
,
,
,
,
"	",
