month,tmx
1979-01,24.06
1979-02,25.25
1979-03,22.94
1979-04,23.1
1979-05,21.45
1979-06,19.63
1979-07,17.19
1979-08,18.16
1979-09,17.83
1979-10,20.61
1979-11,22.7
1979-12,23.55
1980-01,23.81
1980-02,24.41
1980-03,25.71
1980-04,23.53
1980-05,20.77
1980-06,19.33
1980-07,20.94
1980-08,19.48
1980-09,19
1980-10,19.52
1980-11,20.27
1980-12,22.84
1981-01,23.14
1981-02,23.18
1981-03,22.32
1981-04,22.83
1981-05,20.65
1981-06,17.23
1981-07,18
1981-08,16.1
1981-09,19.37
1981-10,20.48
1981-11,21.47
1981-12,23
1982-01,23.92
1982-02,NA
1982-03,23.06
1982-04,20.48
1982-05,20.04
1982-06,18.21
1982-07,16.05
1982-08,17.23
1982-09,18.5
1982-10,20.23
1982-11,20.32
1982-12,23.19
1983-01,24.38
1983-02,23.76
1983-03,23.42
1983-04,22.69
1983-05,20.01
1983-06,17.89
1983-07,17.61
1983-08,18.83
1983-09,18.53
1983-10,19.87
1983-11,20.55
1983-12,23.51
1984-01,24.88
1984-02,25.09
1984-03,23.66
1984-04,23.54
1984-05,20.32
1984-06,20.4
1984-07,18.14
1984-08,18.72
1984-09,19.71
1984-10,19.83
1984-11,22.41
1984-12,23.03
1985-01,24.12
1985-02,23.91
1985-03,23.19
1985-04,23.37
1985-05,21.24
1985-06,19.23
1985-07,16.65
1985-08,19.41
1985-09,19.91
1985-10,21.24
1985-11,22.62
1985-12,22.99
1986-01,24.44
1986-02,25.01
1986-03,23.32
1986-04,22.8
1986-05,22.49
1986-06,20.77
1986-07,18.89
1986-08,18.59
1986-09,19.67
1986-10,19.43
1986-11,21.3
1986-12,22.9
1987-01,23.95
1987-02,24.67
1987-03,23.79
1987-04,22.36
1987-05,23.11
1987-06,19.82
1987-07,20.39
1987-08,20.05
1987-09,19.15
1987-10,20.25
1987-11,21.58
1987-12,22.63
1988-01,24.37
1988-02,25.48
1988-03,24.3
1988-04,20.87
1988-05,22.4
1988-06,18.5
1988-07,17.7
1988-08,19.54
1988-09,18.81
1988-10,19.42
1988-11,21.62
1988-12,23.1
1989-01,25.63
1989-02,25.74
1989-03,24.36
1989-04,21.68
1989-05,20.58
1989-06,18.45
1989-07,18.19
1989-08,18.55
1989-09,18.88
1989-10,18.75
1989-11,20.61
1989-12,23.45
1990-01,25.15
1990-02,24.97
1990-03,22.29
1990-04,22.16
1990-05,19.75
1990-06,17.56
1990-07,18.39
1990-08,18.28
1990-09,19.8
1990-10,19.37
1990-11,21.88
1990-12,23.03
1991-01,23.79
1991-02,24.32
1991-03,24.5
1991-04,23.86
1991-05,22.78
1991-06,18.51
1991-07,18.79
1991-08,17.17
1991-09,19.86
1991-10,19.59
1991-11,21.38
1991-12,23.21
1992-01,24.13
1992-02,25.01
1992-03,23.6
1992-04,21.44
1992-05,20.37
1992-06,18.85
1992-07,19.13
1992-08,18.53
1992-09,18.63
1992-10,20.53
1992-11,21.71
1992-12,23.1
1993-01,24.91
1993-02,25.15
1993-03,24.76
1993-04,21.58
1993-05,19.61
1993-06,19.1
1993-07,20.86
1993-08,19.38
1993-09,19.49
1993-10,19.71
1993-11,22.49
1993-12,22
1994-01,23.34
1994-02,24.7
1994-03,24.09
1994-04,23.86
1994-05,21.07
1994-06,19.16
1994-07,18.79
1994-08,17.36
1994-09,19.45
1994-10,21.03
1994-11,22.89
1994-12,23.17
1995-01,24.21
1995-02,24.9
1995-03,23.34
1995-04,20.41
1995-05,20.71
1995-06,18.93
1995-07,17.62
1995-08,18.75
1995-09,19.37
1995-10,19.13
1995-11,21.69
1995-12,23.04
1996-01,23.92
1996-02,24.81
1996-03,23.3
1996-04,24.55
1996-05,22.72
1996-06,21.55
1996-07,17.5
1996-08,18.71
1996-09,19.76
1996-10,19.64
1996-11,19.13
1996-12,23.12
1997-01,24.66
1997-02,23.85
1997-03,23.55
1997-04,20.8
1997-05,21.6
1997-06,17.86
1997-07,18.73
1997-08,19.43
1997-09,20.39
1997-10,22.38
1997-11,21.33
1997-12,23.66
1998-01,24.19
1998-02,24.77
1998-03,23.37
1998-04,24.05
1998-05,21.45
1998-06,19.22
1998-07,18.33
1998-08,17.78
1998-09,18.78
1998-10,21.12
1998-11,21.63
1998-12,23.07
1999-01,25.09
1999-02,24.17
1999-03,24.89
1999-04,22.32
1999-05,20.73
1999-06,21.51
1999-07,19.64
1999-08,20.66
1999-09,18.9
1999-10,21.08
1999-11,21.89
1999-12,25.89
2000-01,24.72
2000-02,24.51
2000-03,21.84
2000-04,21.93
2000-05,20.7
2000-06,21.93
2000-07,19.57
"	",
