date,tmx
1979-01,25.35
1979-02,26.21
1979-03,25.77
1979-04,23.27
1979-05,19.87
1979-06,16.2
1979-07,15.03
1979-08,18.84
1979-09,22.2
1979-10,25.26
1979-11,23.27
1979-12,24.61
1980-01,24.61
1980-02,23.97
1980-03,23.52
1980-04,21.77
1980-05,20.1
1980-06,15.5
1980-07,15.9
1980-08,18.68
1980-09,20.07
1980-10,25.35
1980-11,24
1980-12,25
1981-01,25.72
1981-02,23.14
1981-03,22.26
1981-04,22.47
1981-05,17.94
1981-06,16.17
1981-07,17.19
1981-08,16.77
1981-09,21
1981-10,20.68
1981-11,26.67
1981-12,25.19
1982-01,26.08
1982-02,26.16
1982-03,24.18
1982-04,19.72
1982-05,20.35
1982-06,17.45
1982-07,16.47
1982-08,19.85
1982-09,23.72
1982-10,23.71
1982-11,24.81
1982-12,27.35
1983-01,27.91
1983-02,28.23
1983-03,26.17
1983-04,24.33
1983-05,19.8
1983-06,17.01
1983-07,17.09
1983-08,18.34
1983-09,24.62
1983-10,23.25
1983-11,25.37
1983-12,24.5
1984-01,26.4
1984-02,27.68
1984-03,25.41
1984-04,21.96
1984-05,20.08
1984-06,15.57
1984-07,16.14
1984-08,19.78
1984-09,23.55
1984-10,24.86
1984-11,24.05
1984-12,25.83
1985-01,26.54
1985-02,25.31
1985-03,24.89
1985-04,22.68
1985-05,19.83
1985-06,17.84
1985-07,17.2
1985-08,21.27
1985-09,22.03
1985-10,25.68
1985-11,26.11
1985-12,24.4
1986-01,26.06
1986-02,25.34
1986-03,25.43
1986-04,22.51
1986-05,21.69
1986-06,17
1986-07,18.13
1986-08,21.11
1986-09,22.73
1986-10,23.35
1986-11,22.64
1986-12,26.06
1987-01,26.72
1987-02,27.77
1987-03,25.28
1987-04,24.58
1987-05,22.48
1987-06,16.51
1987-07,16.94
1987-08,18.35
1987-09,20.16
1987-10,23.05
1987-11,25.6
1987-12,26.25
1988-01,27.78
1988-02,26
1988-03,24.8
1988-04,21.51
1988-05,19.59
1988-06,16.14
1988-07,17.82
1988-08,20.6
1988-09,22.18
1988-10,22.21
1988-11,23.94
1988-12,23.43
1989-01,24.5
1989-02,21.91
1989-03,24.69
1989-04,19.97
1989-05,19.19
1989-06,16.64
1989-07,17.11
1989-08,21.83
1989-09,23.07
1989-10,23.63
1989-11,23.3
1989-12,25.77
1990-01,26.07
1990-02,23.69
1990-03,23.13
1990-04,20.46
1990-05,17.31
1990-06,15.87
1990-07,17.35
1990-08,19.36
1990-09,23.02
1990-10,24.65
1990-11,26.84
1990-12,25.91
1991-01,25.16
1991-02,25.43
1991-03,22.94
1991-04,22.83
1991-05,20.35
1991-06,16.7
1991-07,17.51
1991-08,20.44
1991-09,22.97
1991-10,25.09
1991-11,25.39
1991-12,24.32
1992-01,28.19
1992-02,28.73
1992-03,26.05
1992-04,24.55
1992-05,21.04
1992-06,17.86
1992-07,17.91
1992-08,17.61
1992-09,26.27
1992-10,26.47
1992-11,24.46
1992-12,26.23
1993-01,27.94
1993-02,24.7
1993-03,23.63
1993-04,22.26
1993-05,21.47
1993-06,17.17
1993-07,18.51
1993-08,19.66
1993-09,26.1
1993-10,23.3
1993-11,23.07
1993-12,25.42
1994-01,23.8
1994-02,23.33
1994-03,23.91
1994-04,22.39
1994-05,20.37
1994-06,15.85
1994-07,16.01
1994-08,19.19
1994-09,24.52
1994-10,23.18
1994-11,24.4
1994-12,25.72
1995-01,26.29
1995-02,27.54
1995-03,24.33
1995-04,21.11
1995-05,18.21
1995-06,16.91
1995-07,17.67
1995-08,20.37
1995-09,24.71
1995-10,24.48
1995-11,24.14
1995-12,23.25
1996-01,24.97
1996-02,23.54
1996-03,23.99
1996-04,20.61
1996-05,18.65
1996-06,17.49
1996-07,15.1
1996-08,18.46
1996-09,23.76
1996-10,26.11
1996-11,24.09
1996-12,25.37
1997-01,25.4
1997-02,27.31
1997-03,22.62
1997-04,19.37
1997-05,16.74
1997-06,16.5
1997-07,16.47
1997-08,20.55
1997-09,21.4
1997-10,23.06
1997-11,24.54
1997-12,25.36
1998-01,24.55
1998-02,25.05
1998-03,25.37
1998-04,24.42
1998-05,19.71
1998-06,19.42
1998-07,17.32
1998-08,19.18
1998-09,22.52
1998-10,22.54
1998-11,22.79
1998-12,23.08
1999-01,24.46
1999-02,25.74
1999-03,25.34
1999-04,22.71
1999-05,18.56
1999-06,17.43
1999-07,16.95
1999-08,19.41
1999-09,20.92
1999-10,23.6
1999-11,25.65
1999-12,23.5
2000-01,22.1
2000-02,22.06
2000-03,22.31
2000-04,19.41
2000-05,17.22
2000-06,16.95
2000-07,15.9
"	",
